step,method,q,seed,ablation,policy_mean_effort,theoretical_effort
8192,TEL-PPO,35.0,42,no_exploitability,47.35688269138336,45.45454545454545
12288,TEL-PPO,35.0,42,no_exploitability,46.93053662776947,45.45454545454545
16384,TEL-PPO,35.0,42,no_exploitability,46.506598591804504,45.45454545454545
20480,TEL-PPO,35.0,42,no_exploitability,46.25592231750488,45.45454545454545
24576,TEL-PPO,35.0,42,no_exploitability,45.98417282104492,45.45454545454545
28672,TEL-PPO,35.0,42,no_exploitability,45.56150734424591,45.45454545454545
32768,TEL-PPO,35.0,42,no_exploitability,45.21820247173309,45.45454545454545
36864,TEL-PPO,35.0,42,no_exploitability,44.794631004333496,45.45454545454545
40960,TEL-PPO,35.0,42,no_exploitability,44.445568323135376,45.45454545454545
45056,TEL-PPO,35.0,42,no_exploitability,43.980491161346436,45.45454545454545
49152,TEL-PPO,35.0,42,no_exploitability,43.68131160736084,45.45454545454545
53248,TEL-PPO,35.0,42,no_exploitability,43.44967603683472,45.45454545454545
57344,TEL-PPO,35.0,42,no_exploitability,43.07833909988403,45.45454545454545
61440,TEL-PPO,35.0,42,no_exploitability,42.872849106788635,45.45454545454545
65536,TEL-PPO,35.0,42,no_exploitability,42.749351263046265,45.45454545454545
69632,TEL-PPO,35.0,42,no_exploitability,42.615339159965515,45.45454545454545
73728,TEL-PPO,35.0,42,no_exploitability,42.39088296890259,45.45454545454545
77824,TEL-PPO,35.0,42,no_exploitability,42.62456297874451,45.45454545454545
81920,TEL-PPO,35.0,42,no_exploitability,42.67238676548004,45.45454545454545
86016,TEL-PPO,35.0,42,no_exploitability,42.83827543258667,45.45454545454545
90112,TEL-PPO,35.0,42,no_exploitability,43.01449656486511,45.45454545454545
94208,TEL-PPO,35.0,42,no_exploitability,43.01971793174744,45.45454545454545
98304,TEL-PPO,35.0,42,no_exploitability,43.32733154296875,45.45454545454545
102400,TEL-PPO,35.0,42,no_exploitability,43.58049035072327,45.45454545454545
106496,TEL-PPO,35.0,42,no_exploitability,43.77918243408203,45.45454545454545
110592,TEL-PPO,35.0,42,no_exploitability,44.03681755065918,45.45454545454545
114688,TEL-PPO,35.0,42,no_exploitability,43.5975044965744,45.45454545454545
118784,TEL-PPO,35.0,42,no_exploitability,43.906134366989136,45.45454545454545
122880,TEL-PPO,35.0,42,no_exploitability,44.21057403087616,45.45454545454545
126976,TEL-PPO,35.0,42,no_exploitability,43.84206831455231,45.45454545454545
131072,TEL-PPO,35.0,42,no_exploitability,44.017818570137024,45.45454545454545
135168,TEL-PPO,35.0,42,no_exploitability,43.87001395225525,45.45454545454545
139264,TEL-PPO,35.0,42,no_exploitability,43.78441870212555,45.45454545454545
143360,TEL-PPO,35.0,42,no_exploitability,44.04186308383942,45.45454545454545
147456,TEL-PPO,35.0,42,no_exploitability,43.55233609676361,45.45454545454545
151552,TEL-PPO,35.0,42,no_exploitability,43.85698437690735,45.45454545454545
155648,TEL-PPO,35.0,42,no_exploitability,43.71696710586548,45.45454545454545
159744,TEL-PPO,35.0,42,no_exploitability,43.92381012439728,45.45454545454545
163840,TEL-PPO,35.0,42,no_exploitability,44.10274028778076,45.45454545454545
167936,TEL-PPO,35.0,42,no_exploitability,44.05973255634308,45.45454545454545
172032,TEL-PPO,35.0,42,no_exploitability,43.81154179573059,45.45454545454545
176128,TEL-PPO,35.0,42,no_exploitability,44.331470131874084,45.45454545454545
180224,TEL-PPO,35.0,42,no_exploitability,44.000354409217834,45.45454545454545
184320,TEL-PPO,35.0,42,no_exploitability,44.126006960868835,45.45454545454545
188416,TEL-PPO,35.0,42,no_exploitability,44.380465149879456,45.45454545454545
192512,TEL-PPO,35.0,42,no_exploitability,44.48676109313965,45.45454545454545
196608,TEL-PPO,35.0,42,no_exploitability,44.35051083564758,45.45454545454545
200704,TEL-PPO,35.0,42,no_exploitability,44.02871131896973,45.45454545454545
204800,TEL-PPO,35.0,42,no_exploitability,44.16097104549408,45.45454545454545
208896,TEL-PPO,35.0,42,no_exploitability,44.21031177043915,45.45454545454545
212992,TEL-PPO,35.0,42,no_exploitability,43.89777183532715,45.45454545454545
217088,TEL-PPO,35.0,42,no_exploitability,43.61424446105957,45.45454545454545
221184,TEL-PPO,35.0,42,no_exploitability,43.729040026664734,45.45454545454545
225280,TEL-PPO,35.0,42,no_exploitability,43.4075266122818,45.45454545454545
229376,TEL-PPO,35.0,42,no_exploitability,43.54562759399414,45.45454545454545
233472,TEL-PPO,35.0,42,no_exploitability,43.75635087490082,45.45454545454545
237568,TEL-PPO,35.0,42,no_exploitability,43.58057081699371,45.45454545454545
241664,TEL-PPO,35.0,42,no_exploitability,43.83639097213745,45.45454545454545
245760,TEL-PPO,35.0,42,no_exploitability,43.618011474609375,45.45454545454545
249856,TEL-PPO,35.0,42,no_exploitability,43.38301420211792,45.45454545454545
253952,TEL-PPO,35.0,42,no_exploitability,43.743896484375,45.45454545454545
258048,TEL-PPO,35.0,42,no_exploitability,43.93601417541504,45.45454545454545
262144,TEL-PPO,35.0,42,no_exploitability,43.682557344436646,45.45454545454545
266240,TEL-PPO,35.0,42,no_exploitability,44.02596950531006,45.45454545454545
270336,TEL-PPO,35.0,42,no_exploitability,44.000062346458435,45.45454545454545
274432,TEL-PPO,35.0,42,no_exploitability,44.24196183681488,45.45454545454545
278528,TEL-PPO,35.0,42,no_exploitability,43.91348958015442,45.45454545454545
282624,TEL-PPO,35.0,42,no_exploitability,43.86526942253113,45.45454545454545
286720,TEL-PPO,35.0,42,no_exploitability,43.85138154029846,45.45454545454545
290816,TEL-PPO,35.0,42,no_exploitability,43.92964541912079,45.45454545454545
294912,TEL-PPO,35.0,42,no_exploitability,43.92949044704437,45.45454545454545
299008,TEL-PPO,35.0,42,no_exploitability,44.06346082687378,45.45454545454545
303104,TEL-PPO,35.0,42,no_exploitability,44.1081702709198,45.45454545454545
307200,TEL-PPO,35.0,42,no_exploitability,43.88956427574158,45.45454545454545
311296,TEL-PPO,35.0,42,no_exploitability,44.20129656791687,45.45454545454545
315392,TEL-PPO,35.0,42,no_exploitability,43.77308785915375,45.45454545454545
319488,TEL-PPO,35.0,42,no_exploitability,43.99365782737732,45.45454545454545
323584,TEL-PPO,35.0,42,no_exploitability,43.678975105285645,45.45454545454545
327680,TEL-PPO,35.0,42,no_exploitability,43.94122362136841,45.45454545454545
331776,TEL-PPO,35.0,42,no_exploitability,43.621253967285156,45.45454545454545
335872,TEL-PPO,35.0,42,no_exploitability,43.66958737373352,45.45454545454545
339968,TEL-PPO,35.0,42,no_exploitability,43.758150935173035,45.45454545454545
344064,TEL-PPO,35.0,42,no_exploitability,43.87243986129761,45.45454545454545
348160,TEL-PPO,35.0,42,no_exploitability,43.83935630321503,45.45454545454545
352256,TEL-PPO,35.0,42,no_exploitability,44.15004849433899,45.45454545454545
356352,TEL-PPO,35.0,42,no_exploitability,44.254836440086365,45.45454545454545
360448,TEL-PPO,35.0,42,no_exploitability,44.16471719741821,45.45454545454545
364544,TEL-PPO,35.0,42,no_exploitability,44.13482844829559,45.45454545454545
368640,TEL-PPO,35.0,42,no_exploitability,44.4472074508667,45.45454545454545
372736,TEL-PPO,35.0,42,no_exploitability,44.5204496383667,45.45454545454545
376832,TEL-PPO,35.0,42,no_exploitability,44.55996751785278,45.45454545454545
380928,TEL-PPO,35.0,42,no_exploitability,44.21703219413757,45.45454545454545
385024,TEL-PPO,35.0,42,no_exploitability,43.93588602542877,45.45454545454545
389120,TEL-PPO,35.0,42,no_exploitability,43.680766224861145,45.45454545454545
393216,TEL-PPO,35.0,42,no_exploitability,43.75462532043457,45.45454545454545
397312,TEL-PPO,35.0,42,no_exploitability,43.404558300971985,45.45454545454545
401408,TEL-PPO,35.0,42,no_exploitability,43.33013296127319,45.45454545454545
405504,TEL-PPO,35.0,42,no_exploitability,43.16840469837189,45.45454545454545
409600,TEL-PPO,35.0,42,no_exploitability,43.49088966846466,45.45454545454545
413696,TEL-PPO,35.0,42,no_exploitability,43.1470662355423,45.45454545454545
417792,TEL-PPO,35.0,42,no_exploitability,42.64215528964996,45.45454545454545
421888,TEL-PPO,35.0,42,no_exploitability,42.30271577835083,45.45454545454545
425984,TEL-PPO,35.0,42,no_exploitability,41.93989336490631,45.45454545454545
430080,TEL-PPO,35.0,42,no_exploitability,42.21843183040619,45.45454545454545
434176,TEL-PPO,35.0,42,no_exploitability,42.04312860965729,45.45454545454545
438272,TEL-PPO,35.0,42,no_exploitability,42.344361543655396,45.45454545454545
442368,TEL-PPO,35.0,42,no_exploitability,42.52365827560425,45.45454545454545
446464,TEL-PPO,35.0,42,no_exploitability,42.199257016181946,45.45454545454545
450560,TEL-PPO,35.0,42,no_exploitability,41.89353883266449,45.45454545454545
454656,TEL-PPO,35.0,42,no_exploitability,42.04101264476776,45.45454545454545
458752,TEL-PPO,35.0,42,no_exploitability,42.09372401237488,45.45454545454545
462848,TEL-PPO,35.0,42,no_exploitability,42.2929972410202,45.45454545454545
466944,TEL-PPO,35.0,42,no_exploitability,42.6849901676178,45.45454545454545
471040,TEL-PPO,35.0,42,no_exploitability,43.1295782327652,45.45454545454545
475136,TEL-PPO,35.0,42,no_exploitability,42.78908371925354,45.45454545454545
479232,TEL-PPO,35.0,42,no_exploitability,43.049994111061096,45.45454545454545
483328,TEL-PPO,35.0,42,no_exploitability,43.25069785118103,45.45454545454545
487424,TEL-PPO,35.0,42,no_exploitability,43.150246143341064,45.45454545454545
491520,TEL-PPO,35.0,42,no_exploitability,42.83604621887207,45.45454545454545
495616,TEL-PPO,35.0,42,no_exploitability,42.764607071876526,45.45454545454545
499712,TEL-PPO,35.0,42,no_exploitability,42.89657175540924,45.45454545454545
503808,TEL-PPO,35.0,42,no_exploitability,42.65745282173157,45.45454545454545
507904,TEL-PPO,35.0,42,no_exploitability,43.05877983570099,45.45454545454545
512000,TEL-PPO,35.0,42,no_exploitability,43.310561776161194,45.45454545454545
516096,TEL-PPO,35.0,42,no_exploitability,43.037453293800354,45.45454545454545
520192,TEL-PPO,35.0,42,no_exploitability,42.76736378669739,45.45454545454545
524288,TEL-PPO,35.0,42,no_exploitability,42.49256253242493,45.45454545454545
528384,TEL-PPO,35.0,42,no_exploitability,42.88685917854309,45.45454545454545
532480,TEL-PPO,35.0,42,no_exploitability,42.93956756591797,45.45454545454545
536576,TEL-PPO,35.0,42,no_exploitability,42.76282787322998,45.45454545454545
540672,TEL-PPO,35.0,42,no_exploitability,42.778003215789795,45.45454545454545
544768,TEL-PPO,35.0,42,no_exploitability,42.97196865081787,45.45454545454545
548864,TEL-PPO,35.0,42,no_exploitability,42.745405435562134,45.45454545454545
552960,TEL-PPO,35.0,42,no_exploitability,42.999935150146484,45.45454545454545
557056,TEL-PPO,35.0,42,no_exploitability,42.51030683517456,45.45454545454545
561152,TEL-PPO,35.0,42,no_exploitability,42.16022789478302,45.45454545454545
565248,TEL-PPO,35.0,42,no_exploitability,41.924697160720825,45.45454545454545
569344,TEL-PPO,35.0,42,no_exploitability,42.045482993125916,45.45454545454545
573440,TEL-PPO,35.0,42,no_exploitability,41.80267155170441,45.45454545454545
577536,TEL-PPO,35.0,42,no_exploitability,41.48670434951782,45.45454545454545
581632,TEL-PPO,35.0,42,no_exploitability,41.70898497104645,45.45454545454545
585728,TEL-PPO,35.0,42,no_exploitability,41.929882764816284,45.45454545454545
589824,TEL-PPO,35.0,42,no_exploitability,41.64567291736603,45.45454545454545
593920,TEL-PPO,35.0,42,no_exploitability,41.400450468063354,45.45454545454545
598016,TEL-PPO,35.0,42,no_exploitability,41.303375363349915,45.45454545454545
602112,TEL-PPO,35.0,42,no_exploitability,41.647326946258545,45.45454545454545
606208,TEL-PPO,35.0,42,no_exploitability,41.97733998298645,45.45454545454545
610304,TEL-PPO,35.0,42,no_exploitability,41.80516600608826,45.45454545454545
614400,TEL-PPO,35.0,42,no_exploitability,42.02892184257507,45.45454545454545
618496,TEL-PPO,35.0,42,no_exploitability,42.36171841621399,45.45454545454545
622592,TEL-PPO,35.0,42,no_exploitability,42.05050766468048,45.45454545454545
626688,TEL-PPO,35.0,42,no_exploitability,41.88334047794342,45.45454545454545
630784,TEL-PPO,35.0,42,no_exploitability,42.079901695251465,45.45454545454545
634880,TEL-PPO,35.0,42,no_exploitability,42.41704344749451,45.45454545454545
638976,TEL-PPO,35.0,42,no_exploitability,42.70431399345398,45.45454545454545
643072,TEL-PPO,35.0,42,no_exploitability,42.479366064071655,45.45454545454545
647168,TEL-PPO,35.0,42,no_exploitability,42.6651656627655,45.45454545454545
651264,TEL-PPO,35.0,42,no_exploitability,42.529499530792236,45.45454545454545
655360,TEL-PPO,35.0,42,no_exploitability,42.66587793827057,45.45454545454545
659456,TEL-PPO,35.0,42,no_exploitability,42.735692858695984,45.45454545454545
