experiment,method,q,seed,ablation,policy_mean_effort,theoretical_effort,agent1_effort,agent2_effort,relative_error,theoretical_effort1,theoretical_effort2
different_ability,TEL-PPO,35.0,42,baseline,44.897475838661194,46.42857142857142,44.897475838661194,44.897475838661194,0.032977443474989564,46.42857142857142,46.42857142857142
different_ability,TEL-PPO,35.0,43,baseline,45.380499958992004,46.42857142857142,45.380499958992004,45.380499958992004,0.022573847037095182,46.42857142857142,46.42857142857142
different_ability,TEL-PPO,35.0,44,baseline,46.75166308879852,46.42857142857142,46.75166308879852,46.75166308879852,0.006958897297199066,46.42857142857142,46.42857142857142
different_ability,TEL-PPO,35.0,45,baseline,45.67427188158035,46.42857142857142,45.67427188158035,45.67427188158035,0.01624645178134614,46.42857142857142,46.42857142857142
different_ability,TEL-PPO,35.0,46,baseline,46.60871773958206,46.42857142857142,46.60871773958206,46.60871773958206,0.0038800743909983633,46.42857142857142,46.42857142857142
different_ability,TEL-PPO,55.0,42,baseline,31.526117026805878,30.371900826446282,31.526117026805878,31.526117026805878,0.03800276469211185,30.371900826446282,30.371900826446282
different_ability,TEL-PPO,55.0,43,baseline,30.172666907310486,30.371900826446282,30.172666907310486,30.172666907310486,0.006559810670865676,30.371900826446282,30.371900826446282
different_ability,TEL-PPO,55.0,44,baseline,30.344925820827484,30.371900826446282,30.344925820827484,30.344925820827484,0.0008881566475849158,30.371900826446282,30.371900826446282
different_ability,TEL-PPO,55.0,45,baseline,32.08277374505997,30.371900826446282,32.08277374505997,32.08277374505997,0.05633078181013765,30.371900826446282,30.371900826446282
different_ability,TEL-PPO,55.0,46,baseline,31.305918097496033,30.371900826446282,31.305918097496033,31.305918097496033,0.0307526774957877,30.371900826446282,30.371900826446282
different_cost,TEL-PPO,35.0,42,baseline,31.77240341901779,32.84274990122481,37.970101833343506,25.574705004692078,0.032590038453725975,38.02844725404978,27.657052548399843
different_cost,TEL-PPO,35.0,43,baseline,32.57991075515747,32.84274990122481,37.31319606304169,27.846625447273254,0.008002957939205345,38.02844725404978,27.657052548399843
different_cost,TEL-PPO,35.0,44,baseline,31.35891705751419,32.84274990122481,36.3656610250473,26.35217308998108,0.0451799209315078,38.02844725404978,27.657052548399843
different_cost,TEL-PPO,35.0,45,baseline,33.67459625005722,32.84274990122481,38.624536991119385,28.724655508995056,0.025328157700990343,38.02844725404978,27.657052548399843
different_cost,TEL-PPO,35.0,46,baseline,32.662154734134674,32.84274990122481,38.59532177448273,26.72898769378662,0.005498783373294949,38.02844725404978,27.657052548399843
different_cost,TEL-PPO,55.0,42,baseline,22.745206207036972,22.920687839971926,26.190832257270813,19.29958015680313,0.007656036946191782,26.539743814704334,19.301631865239514
different_cost,TEL-PPO,55.0,43,baseline,24.171235412359238,22.920687839971926,25.85778534412384,22.484685480594635,0.05455977504333236,26.539743814704334,19.301631865239514
different_cost,TEL-PPO,55.0,44,baseline,20.955796539783478,22.920687839971926,24.139350652694702,17.772242426872253,0.08572566905090116,26.539743814704334,19.301631865239514
different_cost,TEL-PPO,55.0,45,baseline,24.09709319472313,22.920687839971926,26.811322569847107,21.38286381959915,0.05132504586968121,26.539743814704334,19.301631865239514
different_cost,TEL-PPO,55.0,46,baseline,22.19572514295578,22.920687839971926,25.21071434020996,19.1807359457016,0.03162918591613408,26.539743814704334,19.301631865239514
