step,method,q,seed,ablation,effort_mean,theoretical_effort
0,TEL-PPO,35.0,42,baseline,51.751025778707174,45.45454545454545
4096,TEL-PPO,35.0,42,baseline,51.19540797360233,45.45454545454545
8192,TEL-PPO,35.0,42,baseline,50.75005416339262,45.45454545454545
12288,TEL-PPO,35.0,42,baseline,50.38711716700341,45.45454545454545
16384,TEL-PPO,35.0,42,baseline,49.88043317571293,45.45454545454545
20480,TEL-PPO,35.0,42,baseline,49.51428588991985,45.45454545454545
24576,TEL-PPO,35.0,42,baseline,49.13013891084118,45.45454545454545
28672,TEL-PPO,35.0,42,baseline,48.8507875641807,45.45454545454545
32768,TEL-PPO,35.0,42,baseline,48.34629902103907,45.45454545454545
36864,TEL-PPO,35.0,42,baseline,48.16425349051134,45.45454545454545
40960,TEL-PPO,35.0,42,baseline,47.67129846895118,45.45454545454545
45056,TEL-PPO,35.0,42,baseline,47.442047020886164,45.45454545454545
49152,TEL-PPO,35.0,42,baseline,47.03349600732331,45.45454545454545
53248,TEL-PPO,35.0,42,baseline,46.79081615433091,45.45454545454545
57344,TEL-PPO,35.0,42,baseline,46.42202150286178,45.45454545454545
61440,TEL-PPO,35.0,42,baseline,45.91635655751455,45.45454545454545
65536,TEL-PPO,35.0,42,baseline,45.93339593498952,45.45454545454545
69632,TEL-PPO,35.0,42,baseline,45.41165853524586,45.45454545454545
73728,TEL-PPO,35.0,42,baseline,45.32464041374634,45.45454545454545
77824,TEL-PPO,35.0,42,baseline,44.99941571522501,45.45454545454545
81920,TEL-PPO,35.0,42,baseline,44.784211260266716,45.45454545454545
86016,TEL-PPO,35.0,42,baseline,44.58767748577521,45.45454545454545
90112,TEL-PPO,35.0,42,baseline,44.40753956511618,45.45454545454545
94208,TEL-PPO,35.0,42,baseline,44.507715502288164,45.45454545454545
98304,TEL-PPO,35.0,42,baseline,44.40970435692001,45.45454545454545
102400,TEL-PPO,35.0,42,baseline,44.39725651917966,45.45454545454545
106496,TEL-PPO,35.0,42,baseline,44.40452233608814,45.45454545454545
110592,TEL-PPO,35.0,42,baseline,44.48442545672878,45.45454545454545
114688,TEL-PPO,35.0,42,baseline,44.48466785764319,45.45454545454545
118784,TEL-PPO,35.0,42,baseline,44.47227722220127,45.45454545454545
122880,TEL-PPO,35.0,42,baseline,44.382941802963614,45.45454545454545
126976,TEL-PPO,35.0,42,baseline,44.24057414475823,45.45454545454545
131072,TEL-PPO,35.0,42,baseline,44.294215145055134,45.45454545454545
135168,TEL-PPO,35.0,42,baseline,44.347792748827466,45.45454545454545
139264,TEL-PPO,35.0,42,baseline,44.28452655766154,45.45454545454545
143360,TEL-PPO,35.0,42,baseline,44.31030370481303,45.45454545454545
147456,TEL-PPO,35.0,42,baseline,44.285912453662576,45.45454545454545
151552,TEL-PPO,35.0,42,baseline,44.17555980570619,45.45454545454545
155648,TEL-PPO,35.0,42,baseline,44.235998534131795,45.45454545454545
159744,TEL-PPO,35.0,42,baseline,44.22865935694424,45.45454545454545
163840,TEL-PPO,35.0,42,baseline,44.41283452138312,45.45454545454545
167936,TEL-PPO,35.0,42,baseline,44.65264157997446,45.45454545454545
172032,TEL-PPO,35.0,42,baseline,44.52741182548921,45.45454545454545
176128,TEL-PPO,35.0,42,baseline,44.469102648552536,45.45454545454545
180224,TEL-PPO,35.0,42,baseline,44.636430780403344,45.45454545454545
184320,TEL-PPO,35.0,42,baseline,44.41083775693548,45.45454545454545
188416,TEL-PPO,35.0,42,baseline,44.40192660223683,45.45454545454545
192512,TEL-PPO,35.0,42,baseline,44.56811161246157,45.45454545454545
196608,TEL-PPO,35.0,42,baseline,44.49777618469666,45.45454545454545
200704,TEL-PPO,35.0,42,baseline,44.626163088250934,45.45454545454545
204800,TEL-PPO,35.0,42,baseline,44.597479958552846,45.45454545454545
208896,TEL-PPO,35.0,42,baseline,44.45824990002445,45.45454545454545
212992,TEL-PPO,35.0,42,baseline,44.499299419578136,45.45454545454545
217088,TEL-PPO,35.0,42,baseline,44.59871778776866,45.45454545454545
221184,TEL-PPO,35.0,42,baseline,44.69351789169015,45.45454545454545
225280,TEL-PPO,35.0,42,baseline,44.68861264502632,45.45454545454545
229376,TEL-PPO,35.0,42,baseline,44.63590209977707,45.45454545454545
233472,TEL-PPO,35.0,42,baseline,44.52150727529079,45.45454545454545
237568,TEL-PPO,35.0,42,baseline,44.56484375614673,45.45454545454545
0,TEL-PPO,35.0,42,baseline,42.13583395699973,47.61904761904763
4096,TEL-PPO,35.0,42,baseline,42.298489765264115,47.61904761904763
8192,TEL-PPO,35.0,42,baseline,42.557255256455406,47.61904761904763
12288,TEL-PPO,35.0,42,baseline,42.887860944494534,47.61904761904763
16384,TEL-PPO,35.0,42,baseline,42.980867106700344,47.61904761904763
20480,TEL-PPO,35.0,42,baseline,43.07924427883703,47.61904761904763
24576,TEL-PPO,35.0,42,baseline,43.375493581872455,47.61904761904763
28672,TEL-PPO,35.0,42,baseline,43.62731301598257,47.61904761904763
32768,TEL-PPO,35.0,42,baseline,43.70207627955831,47.61904761904763
36864,TEL-PPO,35.0,42,baseline,43.90465689776461,47.61904761904763
40960,TEL-PPO,35.0,42,baseline,44.04368861671537,47.61904761904763
45056,TEL-PPO,35.0,42,baseline,44.35439867107206,47.61904761904763
49152,TEL-PPO,35.0,42,baseline,44.56485223816708,47.61904761904763
53248,TEL-PPO,35.0,42,baseline,44.76114943157875,47.61904761904763
57344,TEL-PPO,35.0,42,baseline,44.98796346015304,47.61904761904763
61440,TEL-PPO,35.0,42,baseline,45.32330669881772,47.61904761904763
65536,TEL-PPO,35.0,42,baseline,45.55926534859451,47.61904761904763
69632,TEL-PPO,35.0,42,baseline,45.60059836460279,47.61904761904763
73728,TEL-PPO,35.0,42,baseline,45.741365092573744,47.61904761904763
77824,TEL-PPO,35.0,42,baseline,45.77678704191929,47.61904761904763
81920,TEL-PPO,35.0,42,baseline,45.90262855309982,47.61904761904763
86016,TEL-PPO,35.0,42,baseline,45.93179887067525,47.61904761904763
90112,TEL-PPO,35.0,42,baseline,46.16676845680918,47.61904761904763
94208,TEL-PPO,35.0,42,baseline,46.18378652259704,47.61904761904763
98304,TEL-PPO,35.0,42,baseline,46.23796303430569,47.61904761904763
102400,TEL-PPO,35.0,42,baseline,46.38203830085694,47.61904761904763
106496,TEL-PPO,35.0,42,baseline,46.446511298883685,47.61904761904763
110592,TEL-PPO,35.0,42,baseline,46.60675570974126,47.61904761904763
114688,TEL-PPO,35.0,42,baseline,46.490892437752294,47.61904761904763
118784,TEL-PPO,35.0,42,baseline,46.61424029106277,47.61904761904763
122880,TEL-PPO,35.0,42,baseline,46.4421531371772,47.61904761904763
126976,TEL-PPO,35.0,42,baseline,46.449660532176516,47.61904761904763
131072,TEL-PPO,35.0,42,baseline,46.45426047267391,47.61904761904763
135168,TEL-PPO,35.0,42,baseline,46.48622710257773,47.61904761904763
139264,TEL-PPO,35.0,42,baseline,46.528943177312655,47.61904761904763
143360,TEL-PPO,35.0,42,baseline,46.67982236575332,47.61904761904763
147456,TEL-PPO,35.0,42,baseline,46.41570596070957,47.61904761904763
