step,method,q,seed,ablation,approx_kl,mean_kl_window
0,TEL-PPO,55.0,50,baseline,0.0151,
4096,TEL-PPO,55.0,50,baseline,0.0219,
8192,TEL-PPO,55.0,50,baseline,0.021,
12288,TEL-PPO,55.0,50,baseline,0.0126,
16384,TEL-PPO,55.0,50,baseline,0.0137,
20480,TEL-PPO,55.0,50,baseline,0.0146,
24576,TEL-PPO,55.0,50,baseline,0.011,
28672,TEL-PPO,55.0,50,baseline,0.0097,
32768,TEL-PPO,55.0,50,baseline,0.0168,
36864,TEL-PPO,55.0,50,baseline,0.0195,
40960,TEL-PPO,55.0,50,baseline,0.021,
45056,TEL-PPO,55.0,50,baseline,0.016,
49152,TEL-PPO,55.0,50,baseline,0.0153,
53248,TEL-PPO,55.0,50,baseline,0.0117,
57344,TEL-PPO,55.0,50,baseline,0.0122,
61440,TEL-PPO,55.0,50,baseline,0.0108,
65536,TEL-PPO,55.0,50,baseline,0.0094,
69632,TEL-PPO,55.0,50,baseline,0.0176,
73728,TEL-PPO,55.0,50,baseline,0.0137,
77824,TEL-PPO,55.0,50,baseline,0.0099,
81920,TEL-PPO,55.0,50,baseline,0.0108,
86016,TEL-PPO,55.0,50,baseline,0.0079,
90112,TEL-PPO,55.0,50,baseline,0.0049,
94208,TEL-PPO,55.0,50,baseline,0.0029,
98304,TEL-PPO,55.0,50,baseline,0.0061,
102400,TEL-PPO,55.0,50,baseline,0.0003,
106496,TEL-PPO,55.0,50,baseline,0.0088,
110592,TEL-PPO,55.0,50,baseline,0.0,
114688,TEL-PPO,55.0,50,baseline,0.0077,
118784,TEL-PPO,55.0,50,baseline,0.0009,
122880,TEL-PPO,55.0,50,baseline,0.0039,
126976,TEL-PPO,55.0,50,baseline,0.005,
131072,TEL-PPO,55.0,50,baseline,0.0072,
135168,TEL-PPO,55.0,50,baseline,0.0021,
139264,TEL-PPO,55.0,50,baseline,0.0028,
143360,TEL-PPO,55.0,50,baseline,0.0073,
147456,TEL-PPO,55.0,50,baseline,0.0051,
151552,TEL-PPO,55.0,50,baseline,0.0084,
155648,TEL-PPO,55.0,50,baseline,0.0026,
159744,TEL-PPO,55.0,50,baseline,0.0062,
163840,TEL-PPO,55.0,50,baseline,0.0048,
167936,TEL-PPO,55.0,50,baseline,0.0088,
172032,TEL-PPO,55.0,50,baseline,0.0044,
176128,TEL-PPO,55.0,50,baseline,0.0,
180224,TEL-PPO,55.0,50,baseline,0.0031,
184320,TEL-PPO,55.0,50,baseline,0.0,
188416,TEL-PPO,55.0,50,baseline,0.0025,
192512,TEL-PPO,55.0,50,baseline,0.0,
196608,TEL-PPO,55.0,50,baseline,0.0,
200704,TEL-PPO,55.0,50,baseline,0.0,
204800,TEL-PPO,55.0,50,baseline,0.0198,
208896,TEL-PPO,55.0,50,baseline,0.0076,
212992,TEL-PPO,55.0,50,baseline,0.0047,
217088,TEL-PPO,55.0,50,baseline,0.0,
221184,TEL-PPO,55.0,50,baseline,0.0,
225280,TEL-PPO,55.0,50,baseline,0.0051,
229376,TEL-PPO,55.0,50,baseline,0.0058,
233472,TEL-PPO,55.0,50,baseline,0.0,
237568,TEL-PPO,55.0,50,baseline,0.0051,
241664,TEL-PPO,55.0,50,baseline,0.0294,
245760,TEL-PPO,55.0,50,baseline,0.01,
249856,TEL-PPO,55.0,50,baseline,0.0,
253952,TEL-PPO,55.0,50,baseline,0.0,
258048,TEL-PPO,55.0,50,baseline,0.0,
262144,TEL-PPO,55.0,50,baseline,0.0016,
266240,TEL-PPO,55.0,50,baseline,0.0035,
270336,TEL-PPO,55.0,50,baseline,0.0119,
274432,TEL-PPO,55.0,50,baseline,0.0164,
278528,TEL-PPO,55.0,50,baseline,0.0217,
282624,TEL-PPO,55.0,50,baseline,0.0,
286720,TEL-PPO,55.0,50,baseline,0.012,
290816,TEL-PPO,55.0,50,baseline,0.0,
294912,TEL-PPO,55.0,50,baseline,0.0,
299008,TEL-PPO,55.0,50,baseline,0.0116,
303104,TEL-PPO,55.0,50,baseline,0.0,
307200,TEL-PPO,55.0,50,baseline,0.0035,
311296,TEL-PPO,55.0,50,baseline,0.0246,
315392,TEL-PPO,55.0,50,baseline,0.0273,
319488,TEL-PPO,55.0,50,baseline,0.0173,
323584,TEL-PPO,55.0,50,baseline,0.0163,
327680,TEL-PPO,55.0,50,baseline,0.0,
331776,TEL-PPO,55.0,50,baseline,0.0199,
335872,TEL-PPO,55.0,50,baseline,0.0,
339968,TEL-PPO,55.0,50,baseline,0.0219,
344064,TEL-PPO,55.0,50,baseline,0.0144,
348160,TEL-PPO,55.0,50,baseline,0.0025,
352256,TEL-PPO,55.0,50,baseline,0.0283,
356352,TEL-PPO,55.0,50,baseline,0.0223,
360448,TEL-PPO,55.0,50,baseline,0.0276,
364544,TEL-PPO,55.0,50,baseline,0.0265,
368640,TEL-PPO,55.0,50,baseline,0.0344,
372736,TEL-PPO,55.0,50,baseline,0.0083,
376832,TEL-PPO,55.0,50,baseline,0.0167,
380928,TEL-PPO,55.0,50,baseline,0.0105,
385024,TEL-PPO,55.0,50,baseline,0.0342,
389120,TEL-PPO,55.0,50,baseline,0.0107,
393216,TEL-PPO,55.0,50,baseline,0.0174,
397312,TEL-PPO,55.0,50,baseline,0.0,
401408,TEL-PPO,55.0,50,baseline,0.0425,
405504,TEL-PPO,55.0,50,baseline,0.0,
409600,TEL-PPO,55.0,50,baseline,0.0006,
413696,TEL-PPO,55.0,50,baseline,0.0313,
417792,TEL-PPO,55.0,50,baseline,0.0254,
421888,TEL-PPO,55.0,50,baseline,0.023,
425984,TEL-PPO,55.0,50,baseline,0.0239,
430080,TEL-PPO,55.0,50,baseline,0.0,
434176,TEL-PPO,55.0,50,baseline,0.0122,
438272,TEL-PPO,55.0,50,baseline,0.0078,
442368,TEL-PPO,55.0,50,baseline,0.0185,
446464,TEL-PPO,55.0,50,baseline,0.013,
450560,TEL-PPO,55.0,50,baseline,0.0157,
454656,TEL-PPO,55.0,50,baseline,0.0274,
458752,TEL-PPO,55.0,50,baseline,0.0335,
462848,TEL-PPO,55.0,50,baseline,0.0146,
466944,TEL-PPO,55.0,50,baseline,0.0,
471040,TEL-PPO,55.0,50,baseline,0.0166,
475136,TEL-PPO,55.0,50,baseline,0.0155,
479232,TEL-PPO,55.0,50,baseline,0.0239,
483328,TEL-PPO,55.0,50,baseline,0.0,
487424,TEL-PPO,55.0,50,baseline,0.0022,
491520,TEL-PPO,55.0,50,baseline,0.0056,
495616,TEL-PPO,55.0,50,baseline,0.0,
499712,TEL-PPO,55.0,50,baseline,0.0062,
