Scenario,q,Method,Mean±std,|ē−e*|,RelErr,Exploitability,Symmetry Gap,Steps to Conv.
Two-Player,35,Theory,45.45,0.00,0.00%,0.000,0.00,-
Two-Player,35,Gradient,45.45±0.00,0.00,0.01%,-,0.00,-
Two-Player,45,Theory,35.35,0.00,0.00%,0.000,0.00,-
Two-Player,45,Gradient,35.35±0.00,0.00,0.01%,-,0.00,-
Two-Player,55,Theory,28.93,0.00,0.00%,0.000,0.00,-
Two-Player,55,Gradient,28.92±0.00,0.00,0.00%,-,0.00,-
Three-Player,35,Theory,25.00,0.00,0.00%,0.000,0.00,-
Three-Player,35,Gradient,25.00±0.00,0.00,0.00%,-,0.00,-
Three-Player,55,Theory,15.91,0.00,0.00%,0.000,0.00,-
Three-Player,55,Gradient,15.91±0.00,0.00,0.00%,-,0.00,-
Het. Cost,35,Theory,32.84,0.00,0.00%,0.000,0.00,-
Het. Cost,35,Gradient,32.84±0.00,0.00,0.01%,-,10.38,-
Het. Cost,55,Theory,22.92,0.00,0.00%,0.000,0.00,-
Het. Cost,55,Gradient,22.92±0.00,0.00,0.02%,-,7.24,-
Het. Ability,35,Theory,46.43,0.00,0.00%,0.000,0.00,-
Het. Ability,35,Gradient,46.45±0.00,0.02,0.04%,-,0.00,-
Het. Ability,55,Theory,30.37,0.00,0.00%,0.000,0.00,-
Het. Ability,55,Gradient,30.38±0.00,0.01,0.03%,-,0.00,-
