Ablation,Final Error,Exploitability,Steps to Conv.,Failure Mode
TEL-PPO (baseline),2.124±1.709,0.2900±0.5111,801,biased mean
No stability gate,10.148±5.794,0.2455±0.2198,-,diverge
No exploitability gate,9.410±6.035,-±-,493,biased mean
eps_001,1.147±0.846,0.6859±0.7464,108,-
eps_003,0.994±0.390,0.6295±0.6857,-,cycle
eps_010,0.550±0.357,0.6547±0.7065,-,cycle
eps_020,0.849±0.419,0.6294±0.6804,-,cycle
no_theory_align,3.770±1.597,0.0278±0.0017,-,never terminate
no_tv2_ent002,7.935±1.147,0.0275±0.0033,-,never terminate
no_tv2_long,2.651±-,0.0278±-,-,never terminate
pat_01,1.532±1.084,0.6449±0.6727,-,cycle
pat_03,0.885±0.899,0.6123±0.6666,-,cycle
pat_10,0.631±0.660,0.6824±0.7469,108,-
wh8_wl4,10.480±9.292,0.3554±0.3789,418,biased mean
