method,q,seed,ablation,Conv. Step,Gate-on Ratio,First Gate,Final Exploit.,|e - e*|,quality
Gradient,35.0,42,baseline,500.0,0.0,,,0.02018927384502689,Excellent
Gradient,35.0,42,baseline,1390.0,0.0,,,0.0016640687676741095,Excellent
Gradient,35.0,42,baseline,417.0,0.0,,,0.0002273703975816943,Excellent
Gradient,35.0,42,baseline,,0.0,,,2.1609357015615274,Fair
Gradient,45.0,42,baseline,3607.0,0.0,,,0.001783733360959161,Excellent
Gradient,55.0,42,baseline,1199.0,0.0,,,0.0100359951452198,Excellent
Gradient,55.0,42,baseline,1134.0,0.0,,,0.004146094771556363,Excellent
Gradient,55.0,42,baseline,482.0,0.0,,,0.00024111815409710857,Excellent
Gradient,55.0,42,baseline,,0.0,,,1.3785450929814047,Fair
TEL-PPO,35.0,42,baseline,,0.0,,0.03394746780395508,2.5253249066216554,Fair
TEL-PPO,35.0,42,baseline,,0.0,,0.033921241760253906,1.5173425750033473,Fair
TEL-PPO,35.0,42,baseline,,0.0,,0.020116329193115234,2.15554982423782,Fair
TEL-PPO,35.0,42,baseline,,0.42857142857142855,155648.0,0.0028672218322753906,0.8897016983987243,Good
TEL-PPO,35.0,43,baseline,,0.0,,0.03566408157348633,2.987269844327649,Fair
TEL-PPO,35.0,43,baseline,,0.0,,0.03339862823486328,1.25033164780303,Fair
TEL-PPO,35.0,43,baseline,,0.0,,0.020360946655273438,2.212631702423092,Fair
TEL-PPO,35.0,43,baseline,,0.42857142857142855,114688.0,0.0011053085327148438,1.599459407893434,Fair
TEL-PPO,35.0,44,baseline,,0.0,,0.03467845916748047,2.7906430619103517,Fair
TEL-PPO,35.0,44,baseline,,0.0,,0.035562992095947266,1.2976279334323024,Fair
TEL-PPO,35.0,44,baseline,,0.0,,0.02167654037475586,2.3161843419074977,Fair
TEL-PPO,35.0,44,baseline,,0.8333333333333334,114688.0,0.000431060791015625,3.2592505831695107,Fair
TEL-PPO,35.0,45,baseline,,0.0,,0.0360407829284668,2.9141498463494386,Fair
TEL-PPO,35.0,45,baseline,,0.0,,0.03520679473876953,1.438661463667593,Fair
TEL-PPO,35.0,45,baseline,,0.0,,0.01565074920654297,2.2394821047782862,Fair
TEL-PPO,35.0,45,baseline,,0.375,114688.0,0.006293058395385742,1.942082120148001,Fair
TEL-PPO,35.0,46,baseline,,0.0,,0.03617715835571289,3.6505831139428224,Fair
TEL-PPO,35.0,46,baseline,,0.0,,0.03634834289550781,1.8619989828364467,Fair
TEL-PPO,35.0,46,baseline,,0.0,,0.019547462463378906,2.4477034807205165,Fair
TEL-PPO,35.0,46,baseline,,0.6666666666666666,114688.0,0.0029158592224121094,0.27105701989921727,Excellent
TEL-PPO,45.0,42,baseline,,0.0594059405940594,155648.0,0.012983083724975586,1.2192279317381534,Fair
TEL-PPO,45.0,43,baseline,,0.10344827586206896,155648.0,0.01893472671508789,5.291794994982368,Poor
TEL-PPO,45.0,44,baseline,,0.09163346613545817,155648.0,0.029272794723510742,4.460743213674576,Fair
TEL-PPO,45.0,45,baseline,,0.07975460122699386,155648.0,0.01856851577758789,5.993482902782517,Poor
TEL-PPO,45.0,46,baseline,,0.07296137339055794,114688.0,0.09322357177734375,10.586042801985897,Poor
TEL-PPO,55.0,42,baseline,,0.0,,0.02972412109375,0.41979196643041305,Excellent
TEL-PPO,55.0,42,baseline,,0.0,,0.022564411163330078,1.0123792743553182,Fair
TEL-PPO,55.0,42,baseline,,0.05714285714285714,118784.0,0.026970863342285156,1.0972770777615626,Fair
TEL-PPO,55.0,42,baseline,,0.043478260869565216,155648.0,0.05874156951904297,6.813529305343483,Poor
TEL-PPO,55.0,43,baseline,,0.0,,0.03082895278930664,1.615511804572808,Fair
TEL-PPO,55.0,43,baseline,,0.0,,0.02679920196533203,0.6535488819946309,Good
TEL-PPO,55.0,43,baseline,,0.05714285714285714,118784.0,0.02169203758239746,0.8803578940304835,Good
TEL-PPO,55.0,43,baseline,,0.06091370558375635,155648.0,0.015605926513671875,6.0788708174107775,Poor
TEL-PPO,55.0,44,baseline,,0.0,,0.027964115142822266,1.794635683051812,Fair
TEL-PPO,55.0,44,baseline,,0.0,,0.025726318359375,1.1893968736995717,Fair
TEL-PPO,55.0,44,baseline,,0.058823529411764705,114688.0,0.022162199020385742,0.8948775854977686,Good
TEL-PPO,55.0,44,baseline,,0.060810810810810814,155648.0,0.10672330856323242,9.249141453157218,Poor
TEL-PPO,55.0,45,baseline,,0.0,,0.030831336975097656,1.5813970861356133,Fair
TEL-PPO,55.0,45,baseline,,0.0,,0.026595592498779297,1.2517783498634358,Fair
TEL-PPO,55.0,45,baseline,,0.05714285714285714,118784.0,0.0189516544342041,1.0332095352086146,Fair
TEL-PPO,55.0,45,baseline,,0.030405405405405407,155648.0,0.09475135803222656,6.850780321608401,Poor
TEL-PPO,55.0,46,baseline,,0.0,,0.02404928207397461,0.9628975686948174,Good
TEL-PPO,55.0,46,baseline,,0.0,,0.029137134552001953,1.5825312292446156,Fair
TEL-PPO,55.0,46,baseline,,0.058823529411764705,114688.0,0.02595829963684082,1.0396066037091334,Fair
TEL-PPO,55.0,46,baseline,,0.06521739130434782,155648.0,0.06273269653320312,7.428070515251836,Poor
