step,method,q,seed,ablation,effort_mean,theoretical_effort
0,TEL-PPO,25.0,42,baseline,106.96415871661159,87.5
4096,TEL-PPO,25.0,42,baseline,104.0624568350612,87.5
8192,TEL-PPO,25.0,42,baseline,100.98599939886466,87.5
12288,TEL-PPO,25.0,42,baseline,98.02887341752654,87.5
16384,TEL-PPO,25.0,42,baseline,95.00296615250417,87.5
20480,TEL-PPO,25.0,42,baseline,92.73358718398958,87.5
24576,TEL-PPO,25.0,42,baseline,90.04458494903537,87.5
28672,TEL-PPO,25.0,42,baseline,87.64512764383113,87.5
32768,TEL-PPO,25.0,42,baseline,85.62749641807751,87.5
36864,TEL-PPO,25.0,42,baseline,84.33429228141907,87.5
40960,TEL-PPO,25.0,42,baseline,83.60367724532259,87.5
45056,TEL-PPO,25.0,42,baseline,83.30801790300774,87.5
49152,TEL-PPO,25.0,42,baseline,83.6680717514827,87.5
53248,TEL-PPO,25.0,42,baseline,84.24190805247045,87.5
57344,TEL-PPO,25.0,42,baseline,84.97582088271162,87.5
61440,TEL-PPO,25.0,42,baseline,85.266518948134,87.5
65536,TEL-PPO,25.0,42,baseline,85.42427629139297,87.5
69632,TEL-PPO,25.0,42,baseline,85.9046241040342,87.5
73728,TEL-PPO,25.0,42,baseline,86.54649556521332,87.5
77824,TEL-PPO,25.0,42,baseline,86.79409899841997,87.5
81920,TEL-PPO,25.0,42,baseline,86.63148374576126,87.5
86016,TEL-PPO,25.0,42,baseline,86.72890719864503,87.5
90112,TEL-PPO,25.0,42,baseline,87.128523964435,87.5
94208,TEL-PPO,25.0,42,baseline,87.31809420324863,87.5
98304,TEL-PPO,25.0,42,baseline,87.04859739076358,87.5
102400,TEL-PPO,25.0,42,baseline,87.01750542223456,87.5
106496,TEL-PPO,25.0,42,baseline,86.60469712037582,87.5
110592,TEL-PPO,25.0,42,baseline,86.8276093276216,87.5
114688,TEL-PPO,25.0,42,baseline,86.91034917160894,87.5
118784,TEL-PPO,25.0,42,baseline,86.75564702786495,87.5
122880,TEL-PPO,25.0,42,baseline,86.94566884636882,87.5
126976,TEL-PPO,25.0,42,baseline,87.03948926460001,87.5
131072,TEL-PPO,25.0,42,baseline,87.05478440597662,87.5
135168,TEL-PPO,25.0,42,baseline,86.9994026627393,87.5
139264,TEL-PPO,25.0,42,baseline,87.01289332844331,87.5
143360,TEL-PPO,25.0,42,baseline,87.31848038174206,87.5
147456,TEL-PPO,25.0,42,baseline,87.28748186398292,87.5
151552,TEL-PPO,25.0,42,baseline,87.78832210041577,87.5
155648,TEL-PPO,25.0,42,baseline,87.68359443824727,87.5
159744,TEL-PPO,25.0,42,baseline,87.35909633059084,87.5
163840,TEL-PPO,25.0,42,baseline,87.61679631192237,87.5
167936,TEL-PPO,25.0,42,baseline,87.37431552354259,87.5
172032,TEL-PPO,25.0,42,baseline,87.50095433555538,87.5
176128,TEL-PPO,25.0,42,baseline,87.33242173213506,87.5
180224,TEL-PPO,25.0,42,baseline,87.03898201324047,87.5
184320,TEL-PPO,25.0,42,baseline,86.87010121624914,87.5
188416,TEL-PPO,25.0,42,baseline,86.7197449384257,87.5
192512,TEL-PPO,25.0,42,baseline,86.81188189890233,87.5
196608,TEL-PPO,25.0,42,baseline,86.99497716221956,87.5
200704,TEL-PPO,25.0,42,baseline,87.04113000538197,87.5
204800,TEL-PPO,25.0,42,baseline,87.2220177883282,87.5
208896,TEL-PPO,25.0,42,baseline,87.15419608540833,87.5
212992,TEL-PPO,25.0,42,baseline,86.83436721004551,87.5
217088,TEL-PPO,25.0,42,baseline,86.67314292490511,87.5
221184,TEL-PPO,25.0,42,baseline,86.94909511227172,87.5
225280,TEL-PPO,25.0,42,baseline,87.27718616276988,87.5
229376,TEL-PPO,25.0,42,baseline,87.153619895689,87.5
233472,TEL-PPO,25.0,42,baseline,87.13912243768561,87.5
237568,TEL-PPO,25.0,42,baseline,87.17535575479262,87.5
241664,TEL-PPO,25.0,42,baseline,87.25716066639879,87.5
245760,TEL-PPO,25.0,42,baseline,87.25611563306286,87.5
249856,TEL-PPO,25.0,42,baseline,87.03411285858607,87.5
253952,TEL-PPO,25.0,42,baseline,87.27736354433023,87.5
258048,TEL-PPO,25.0,42,baseline,87.3490845337511,87.5
262144,TEL-PPO,25.0,42,baseline,87.4235163573176,87.5
266240,TEL-PPO,25.0,42,baseline,87.41819311492146,87.5
270336,TEL-PPO,25.0,42,baseline,87.47834889870114,87.5
274432,TEL-PPO,25.0,42,baseline,87.51399998087429,87.5
278528,TEL-PPO,25.0,42,baseline,87.50964598171419,87.5
282624,TEL-PPO,25.0,42,baseline,87.65802421234548,87.5
286720,TEL-PPO,25.0,42,baseline,87.69817469920955,87.5
290816,TEL-PPO,25.0,42,baseline,87.42054420150818,87.5
294912,TEL-PPO,25.0,42,baseline,87.49791730009031,87.5
299008,TEL-PPO,25.0,42,baseline,87.77563923690478,87.5
303104,TEL-PPO,25.0,42,baseline,87.98180721607055,87.5
307200,TEL-PPO,25.0,42,baseline,87.96558569558002,87.5
311296,TEL-PPO,25.0,42,baseline,87.95239880401657,87.5
315392,TEL-PPO,25.0,42,baseline,87.8401674414053,87.5
319488,TEL-PPO,25.0,42,baseline,87.9118162086236,87.5
323584,TEL-PPO,25.0,42,baseline,87.69558382406808,87.5
327680,TEL-PPO,25.0,42,baseline,87.73493778705591,87.5
331776,TEL-PPO,25.0,42,baseline,87.83673020917922,87.5
335872,TEL-PPO,25.0,42,baseline,87.7819054871797,87.5
339968,TEL-PPO,25.0,42,baseline,87.78027531318375,87.5
344064,TEL-PPO,25.0,42,baseline,87.50577396806327,87.5
348160,TEL-PPO,25.0,42,baseline,87.58151944819818,87.5
352256,TEL-PPO,25.0,42,baseline,87.64877685718243,87.5
356352,TEL-PPO,25.0,42,baseline,87.65908038429917,87.5
360448,TEL-PPO,25.0,42,baseline,87.63988393917683,87.5
364544,TEL-PPO,25.0,42,baseline,87.6123679028826,87.5
368640,TEL-PPO,25.0,42,baseline,87.5366491200401,87.5
372736,TEL-PPO,25.0,42,baseline,87.21826952882108,87.5
376832,TEL-PPO,25.0,42,baseline,87.48446435853822,87.5
380928,TEL-PPO,25.0,42,baseline,87.33784161787491,87.5
385024,TEL-PPO,25.0,42,baseline,87.61402628477646,87.5
389120,TEL-PPO,25.0,42,baseline,87.55261493474222,87.5
393216,TEL-PPO,25.0,42,baseline,87.72199869249013,87.5
397312,TEL-PPO,25.0,42,baseline,88.02957932278495,87.5
401408,TEL-PPO,25.0,42,baseline,87.76774779241535,87.5
405504,TEL-PPO,25.0,42,baseline,87.94056149665263,87.5
409600,TEL-PPO,25.0,42,baseline,88.14134589489562,87.5
413696,TEL-PPO,25.0,42,baseline,87.99583864677723,87.5
417792,TEL-PPO,25.0,42,baseline,88.258404796943,87.5
421888,TEL-PPO,25.0,42,baseline,88.12828120309871,87.5
425984,TEL-PPO,25.0,42,baseline,87.86794882174576,87.5
430080,TEL-PPO,25.0,42,baseline,87.58933819830415,87.5
434176,TEL-PPO,25.0,42,baseline,87.5562926391138,87.5
438272,TEL-PPO,25.0,42,baseline,87.60915490426106,87.5
442368,TEL-PPO,25.0,42,baseline,87.55436876043669,87.5
446464,TEL-PPO,25.0,42,baseline,87.3903736034408,87.5
450560,TEL-PPO,25.0,42,baseline,87.08066659979514,87.5
454656,TEL-PPO,25.0,42,baseline,86.90831725019956,87.5
458752,TEL-PPO,25.0,42,baseline,86.98337148968147,87.5
462848,TEL-PPO,25.0,42,baseline,87.22900173068047,87.5
466944,TEL-PPO,25.0,42,baseline,87.15938919410095,87.5
471040,TEL-PPO,25.0,42,baseline,86.91136805713157,87.5
475136,TEL-PPO,25.0,42,baseline,86.98753617517642,87.5
479232,TEL-PPO,25.0,42,baseline,87.06114413682381,87.5
483328,TEL-PPO,25.0,42,baseline,87.21811466850346,87.5
487424,TEL-PPO,25.0,42,baseline,87.31808383855966,87.5
491520,TEL-PPO,25.0,42,baseline,87.0452617201955,87.5
495616,TEL-PPO,25.0,42,baseline,86.81228348333403,87.5
499712,TEL-PPO,25.0,42,baseline,86.63222092762585,87.5
503808,TEL-PPO,25.0,42,baseline,86.82013462483887,87.5
507904,TEL-PPO,25.0,42,baseline,86.97503097355366,87.5
512000,TEL-PPO,25.0,42,baseline,87.14851409662535,87.5
516096,TEL-PPO,25.0,42,baseline,87.07332115434116,87.5
520192,TEL-PPO,25.0,42,baseline,87.20644830074164,87.5
524288,TEL-PPO,25.0,42,baseline,87.09770974703144,87.5
528384,TEL-PPO,25.0,42,baseline,87.09638070501384,87.5
532480,TEL-PPO,25.0,42,baseline,87.01011056452997,87.5
536576,TEL-PPO,25.0,42,baseline,86.95858346950266,87.5
540672,TEL-PPO,25.0,42,baseline,87.05181755498032,87.5
544768,TEL-PPO,25.0,42,baseline,87.3183125099167,87.5
548864,TEL-PPO,25.0,42,baseline,87.54748598393044,87.5
552960,TEL-PPO,25.0,42,baseline,87.34626484755418,87.5
557056,TEL-PPO,25.0,42,baseline,87.46286379080267,87.5
561152,TEL-PPO,25.0,42,baseline,87.74726567231124,87.5
565248,TEL-PPO,25.0,42,baseline,87.97951362747692,87.5
569344,TEL-PPO,25.0,42,baseline,87.84835733287035,87.5
0,TEL-PPO,40.0,42,baseline,103.98947359435284,54.6875
