step,method,q,seed,ablation,effort_mean,agent1_effort,agent2_effort,theoretical_effort
0,GRADIENT,25.0,42,baseline,87.5,87.0,88.0,87.5
1,GRADIENT,25.0,42,baseline,87.5075212375,87.0075532215,88.0074892535,87.5
2,GRADIENT,25.0,42,baseline,87.51503823350329,87.01510218346637,88.01497428354021,87.5
3,GRADIENT,25.0,42,baseline,87.5094456683,87.00954156620041,88.00934977039958,87.5
4,GRADIENT,25.0,42,baseline,87.5125887697088,87.01271659753199,88.01246094188559,87.5
5,GRADIENT,25.0,42,baseline,87.52009417234282,87.02025391208542,88.01993443260021,87.5
6,GRADIENT,25.0,42,baseline,87.52759534336899,87.0277869770388,88.02740370969917,87.5
7,GRADIENT,25.0,42,baseline,87.52201315406359,87.02223666367958,88.02178964444761,87.5
8,GRADIENT,25.0,42,baseline,87.52079164228081,87.02104700987309,88.02053627468855,87.5
9,GRADIENT,25.0,42,baseline,87.5152154672505,87.0155026748603,88.0149282596407,87.5
10,GRADIENT,25.0,42,baseline,87.5139956095557,87.01431463923545,88.01367657987598,87.5
11,GRADIENT,25.0,42,baseline,87.51277643943234,87.01312727324554,88.01242560561916,87.5
12,GRADIENT,25.0,42,baseline,87.50720913438674,87.00759175440804,88.00682651436544,87.5
13,GRADIENT,25.0,42,baseline,87.5059916146484,87.00640600296357,88.00557722633323,87.5
14,GRADIENT,25.0,42,baseline,87.50477478104752,87.00522091975343,88.0043286423416,87.5
15,GRADIENT,25.0,42,baseline,87.49921633106345,86.99969420226806,87.99873845985883,87.5
16,GRADIENT,25.0,42,baseline,87.49366101320987,86.99417059903226,87.9931514273875,87.5
17,GRADIENT,25.0,42,baseline,87.49678474730311,86.99732602987338,87.99624346473283,87.5
18,GRADIENT,25.0,42,baseline,87.4955709295036,86.996143890963,87.99499796804422,87.5
19,GRADIENT,25.0,42,baseline,87.49002417156026,86.99062879406105,87.98941954905949,87.5
20,GRADIENT,25.0,42,baseline,87.4844805384553,86.98511680416082,87.98384427274979,87.5
21,GRADIENT,25.0,42,baseline,87.48326931971445,86.98393721079908,87.9826014286298,87.5
22,GRADIENT,25.0,42,baseline,87.47773165643666,86.97843115508586,87.97703215778746,87.5
23,GRADIENT,25.0,42,baseline,87.47652207560023,86.97725316401046,87.97579098719001,87.5
