step,method,q,seed,ablation,approx_kl,mean_kl_window
0,TEL-PPO,25.0,42,baseline,,
4096,TEL-PPO,25.0,42,baseline,,
8192,TEL-PPO,25.0,42,baseline,,
12288,TEL-PPO,25.0,42,baseline,,
16384,TEL-PPO,25.0,42,baseline,,
20480,TEL-PPO,25.0,42,baseline,,
24576,TEL-PPO,25.0,42,baseline,,
28672,TEL-PPO,25.0,42,baseline,,
32768,TEL-PPO,25.0,42,baseline,,
36864,TEL-PPO,25.0,42,baseline,,
40960,TEL-PPO,25.0,42,baseline,,
45056,TEL-PPO,25.0,42,baseline,,
49152,TEL-PPO,25.0,42,baseline,,
53248,TEL-PPO,25.0,42,baseline,,
57344,TEL-PPO,25.0,42,baseline,,
61440,TEL-PPO,25.0,42,baseline,,
65536,TEL-PPO,25.0,42,baseline,,
69632,TEL-PPO,25.0,42,baseline,,
73728,TEL-PPO,25.0,42,baseline,,
77824,TEL-PPO,25.0,42,baseline,,
81920,TEL-PPO,25.0,42,baseline,,
86016,TEL-PPO,25.0,42,baseline,,
90112,TEL-PPO,25.0,42,baseline,,
94208,TEL-PPO,25.0,42,baseline,,
98304,TEL-PPO,25.0,42,baseline,,
102400,TEL-PPO,25.0,42,baseline,,
106496,TEL-PPO,25.0,42,baseline,,
110592,TEL-PPO,25.0,42,baseline,,
114688,TEL-PPO,25.0,42,baseline,,
118784,TEL-PPO,25.0,42,baseline,,
122880,TEL-PPO,25.0,42,baseline,,
126976,TEL-PPO,25.0,42,baseline,,
131072,TEL-PPO,25.0,42,baseline,,
135168,TEL-PPO,25.0,42,baseline,,
139264,TEL-PPO,25.0,42,baseline,,
143360,TEL-PPO,25.0,42,baseline,,
147456,TEL-PPO,25.0,42,baseline,,
151552,TEL-PPO,25.0,42,baseline,,
155648,TEL-PPO,25.0,42,baseline,,
159744,TEL-PPO,25.0,42,baseline,,
163840,TEL-PPO,25.0,42,baseline,,
167936,TEL-PPO,25.0,42,baseline,,
172032,TEL-PPO,25.0,42,baseline,,
176128,TEL-PPO,25.0,42,baseline,,
180224,TEL-PPO,25.0,42,baseline,,
184320,TEL-PPO,25.0,42,baseline,,
188416,TEL-PPO,25.0,42,baseline,,
192512,TEL-PPO,25.0,42,baseline,,
196608,TEL-PPO,25.0,42,baseline,,
200704,TEL-PPO,25.0,42,baseline,,
204800,TEL-PPO,25.0,42,baseline,,
208896,TEL-PPO,25.0,42,baseline,,
212992,TEL-PPO,25.0,42,baseline,,
217088,TEL-PPO,25.0,42,baseline,,
221184,TEL-PPO,25.0,42,baseline,,
225280,TEL-PPO,25.0,42,baseline,,
229376,TEL-PPO,25.0,42,baseline,,
233472,TEL-PPO,25.0,42,baseline,,
237568,TEL-PPO,25.0,42,baseline,,
241664,TEL-PPO,25.0,42,baseline,,
245760,TEL-PPO,25.0,42,baseline,,
249856,TEL-PPO,25.0,42,baseline,,
253952,TEL-PPO,25.0,42,baseline,,
258048,TEL-PPO,25.0,42,baseline,,
262144,TEL-PPO,25.0,42,baseline,,
266240,TEL-PPO,25.0,42,baseline,,
270336,TEL-PPO,25.0,42,baseline,,
274432,TEL-PPO,25.0,42,baseline,,
278528,TEL-PPO,25.0,42,baseline,,
282624,TEL-PPO,25.0,42,baseline,,
286720,TEL-PPO,25.0,42,baseline,,
290816,TEL-PPO,25.0,42,baseline,,
294912,TEL-PPO,25.0,42,baseline,,
299008,TEL-PPO,25.0,42,baseline,,
303104,TEL-PPO,25.0,42,baseline,,
307200,TEL-PPO,25.0,42,baseline,,
311296,TEL-PPO,25.0,42,baseline,,
315392,TEL-PPO,25.0,42,baseline,,
319488,TEL-PPO,25.0,42,baseline,,
323584,TEL-PPO,25.0,42,baseline,,
327680,TEL-PPO,25.0,42,baseline,,
331776,TEL-PPO,25.0,42,baseline,,
335872,TEL-PPO,25.0,42,baseline,,
339968,TEL-PPO,25.0,42,baseline,,
344064,TEL-PPO,25.0,42,baseline,,
348160,TEL-PPO,25.0,42,baseline,,
352256,TEL-PPO,25.0,42,baseline,,
356352,TEL-PPO,25.0,42,baseline,,
360448,TEL-PPO,25.0,42,baseline,,
364544,TEL-PPO,25.0,42,baseline,,
368640,TEL-PPO,25.0,42,baseline,,
372736,TEL-PPO,25.0,42,baseline,,
376832,TEL-PPO,25.0,42,baseline,,
380928,TEL-PPO,25.0,42,baseline,,
385024,TEL-PPO,25.0,42,baseline,,
389120,TEL-PPO,25.0,42,baseline,,
393216,TEL-PPO,25.0,42,baseline,,
397312,TEL-PPO,25.0,42,baseline,,
401408,TEL-PPO,25.0,42,baseline,,
405504,TEL-PPO,25.0,42,baseline,,
409600,TEL-PPO,25.0,42,baseline,,
413696,TEL-PPO,25.0,42,baseline,,
417792,TEL-PPO,25.0,42,baseline,,
421888,TEL-PPO,25.0,42,baseline,,
425984,TEL-PPO,25.0,42,baseline,,
430080,TEL-PPO,25.0,42,baseline,,
434176,TEL-PPO,25.0,42,baseline,,
438272,TEL-PPO,25.0,42,baseline,,
442368,TEL-PPO,25.0,42,baseline,,
446464,TEL-PPO,25.0,42,baseline,,
450560,TEL-PPO,25.0,42,baseline,,
454656,TEL-PPO,25.0,42,baseline,,
458752,TEL-PPO,25.0,42,baseline,,
462848,TEL-PPO,25.0,42,baseline,,
466944,TEL-PPO,25.0,42,baseline,,
471040,TEL-PPO,25.0,42,baseline,,
