q,k,l1,l2,w_h,w_l,seed,theoretical_effort,final_effort,gap,p1_win,method,episodes,converged
40.0,0.0004,10.0,5.0,6.5,3.0,42,51.26953125,36.862727999687195,14.406803250312805,0.560546875,ppo,20000,False
40.0,0.0004,10.0,5.0,6.5,3.0,42,51.26953125,44.80203688144684,6.467494368553162,0.560546875,ppo,200000,False
25.0,0.0004,10.0,5.0,6.5,3.0,42,78.75,62.94785141944885,15.802148580551147,0.595,ppo,2048000,False
25.0,0.0004,10.0,5.0,6.5,3.0,42,78.75,70.59678435325623,8.153215646743774,0.595,ppo,2048000,False
25.0,0.0004,10.0,5.0,6.5,3.0,42,78.75,73.01682233810425,5.733177661895752,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,42,78.75,71.44155502319336,7.308444976806641,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,42,78.75,71.82912826538086,6.920871734619141,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,123,78.75,61.403435468673706,17.346564531326294,0.595,ppo,2048000,False
25.0,0.0004,10.0,5.0,6.5,3.0,42,78.75,71.9116747379303,6.838325262069702,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,42,78.75,71.71268463134766,7.037315368652344,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,42,78.75,71.18828296661377,7.5617170333862305,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,123,78.75,69.69466805458069,9.055331945419312,0.595,ppo,2048000,False
25.0,0.0004,10.0,5.0,6.5,3.0,123,78.75,70.37594318389893,8.374056816101074,0.595,ppo,2048000,False
25.0,0.0004,10.0,5.0,6.5,3.0,123,78.75,72.09709286689758,6.652907133102417,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,123,78.75,71.98121547698975,6.768784523010254,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,456,78.75,59.32577848434448,19.424221515655518,0.595,ppo,2048000,False
25.0,0.0004,10.0,5.0,6.5,3.0,123,78.75,71.53184413909912,7.218155860900879,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,123,78.75,72.42262959480286,6.3273704051971436,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,123,78.75,73.10865521430969,5.641344785690308,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,456,78.75,70.92325091362,7.826749086380005,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,456,78.75,70.06980180740356,8.680198192596436,0.595,ppo,2048000,False
40.0,0.0004,10.0,5.0,6.5,3.0,42,51.26953125,47.25312292575836,4.016408324241638,0.560546875,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,456,78.75,70.61029076576233,8.139709234237671,0.595,ppo,2048000,False
25.0,0.0004,10.0,5.0,6.5,3.0,456,78.75,71.85075283050537,6.899247169494629,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,456,78.75,73.07379841804504,5.676201581954956,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,456,78.75,72.44743704795837,6.302562952041626,0.595,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,456,78.75,69.3535327911377,9.396467208862305,0.595,ppo,2048000,False
40.0,0.0004,10.0,5.0,6.5,3.0,42,51.26953125,47.948700189590454,3.320831060409546,0.560546875,ppo,2048000,True
