q,k1,k2,w_h,w_l,seed,theoretical_effort1,theoretical_effort2,final_effort1,final_effort2,gap1,gap2,max_gap,method,episodes,converged
25.0,0.0004,0.00055,6.5,3.0,42,59.230769230769226,43.07692307692308,52.119481563568115,36.870092153549194,7.111287667201111,6.206830923373886,7.111287667201111,ppo,2048000,False
25.0,0.0004,0.00055,6.5,3.0,42,59.230769230769226,43.07692307692308,56.77698850631714,38.25301229953766,2.4537807244520877,4.8239107773854215,4.8239107773854215,ppo,2048000,True
25.0,0.0004,0.00055,6.5,3.0,42,59.230769230769226,43.07692307692308,55.41296601295471,41.72704517841339,3.8178032178145145,1.349877898509689,3.8178032178145145,ppo,2048000,True
25.0,0.0004,0.00055,6.5,3.0,42,59.230769230769226,43.07692307692308,56.88098669052124,40.15447795391083,2.349782540247986,2.9224451230122526,2.9224451230122526,ppo,2048000,True
25.0,0.0004,0.00055,6.5,3.0,42,59.230769230769226,43.07692307692308,59.96493697166443,42.7296906709671,0.7341677408952023,0.34723240595597815,0.7341677408952023,ppo,2048000,True
25.0,0.0004,0.00055,6.5,3.0,42,59.230769230769226,43.07692307692308,58.72212052345276,42.04907715320587,0.5086487073164676,1.0278459237172086,1.0278459237172086,ppo,2048000,True
25.0,0.0004,0.00055,6.5,3.0,42,59.230769230769226,43.07692307692308,57.87806510925293,41.858795285224915,1.3527041215162967,1.2181277916981657,1.3527041215162967,ppo,2048000,True
25.0,0.0004,0.00055,6.5,3.0,42,59.230769230769226,43.07692307692308,57.26267695426941,39.89490270614624,1.9680922764998172,3.18202037077684,3.18202037077684,ppo,2048000,True
25.0,0.0004,0.00055,6.5,3.0,123,59.230769230769226,43.07692307692308,53.72433662414551,43.40333342552185,5.506432606623719,0.3264103485987704,5.506432606623719,ppo,2048000,True
25.0,0.0004,0.00055,6.5,3.0,123,59.230769230769226,43.07692307692308,57.58052468299866,40.94284772872925,1.6502445477705692,2.134075348193832,2.134075348193832,ppo,2048000,True
25.0,0.0004,0.00055,6.5,3.0,123,59.230769230769226,43.07692307692308,56.74402713775635,42.319437861442566,2.4867420930128787,0.7574852154805143,2.4867420930128787,ppo,2048000,True
25.0,0.0004,0.00055,6.5,3.0,123,59.230769230769226,43.07692307692308,59.517455101013184,42.96001195907593,0.2866858702439572,0.11691111784715247,0.2866858702439572,ppo,2048000,True
25.0,0.0004,0.00055,6.5,3.0,123,59.230769230769226,43.07692307692308,58.628177642822266,45.838430523872375,0.6025915879469608,2.7615074469492953,2.7615074469492953,ppo,2048000,True
25.0,0.0004,0.00055,6.5,3.0,123,59.230769230769226,43.07692307692308,55.358344316482544,40.142443776130676,3.8724249142866825,2.934479300792404,3.8724249142866825,ppo,2048000,True
25.0,0.0004,0.00055,6.5,3.0,123,59.230769230769226,43.07692307692308,56.48955702781677,38.31031918525696,2.741212202952454,4.766603891666122,4.766603891666122,ppo,2048000,True
25.0,0.0004,0.00055,6.5,3.0,456,59.230769230769226,43.07692307692308,49.51484203338623,36.62453293800354,9.715927197382996,6.45239013891954,9.715927197382996,ppo,2048000,False
25.0,0.0004,0.00055,6.5,3.0,123,59.230769230769226,43.07692307692308,56.00175857543945,44.18288171291351,3.2290106553297733,1.105958635990433,3.2290106553297733,ppo,2048000,True
25.0,0.0004,0.00055,6.5,3.0,456,59.230769230769226,43.07692307692308,57.68216848373413,40.36300480365753,1.5486007470350955,2.7139182732655485,2.7139182732655485,ppo,2048000,True
25.0,0.0004,0.00055,6.5,3.0,456,59.230769230769226,43.07692307692308,59.33845639228821,43.24606955051422,0.10768716151898161,0.169146473591141,0.169146473591141,ppo,2048000,True
25.0,0.0004,0.00055,6.5,3.0,456,59.230769230769226,43.07692307692308,54.11733388900757,37.55049109458923,5.113435341761658,5.526431982333847,5.526431982333847,ppo,2048000,True
40.0,0.0004,0.00055,6.5,3.0,42,46.093983837174505,33.52289733612691,43.79994571208954,31.202349066734314,2.294038125084967,2.320548269392596,2.320548269392596,ppo,2048000,True
40.0,0.0004,0.00055,6.5,3.0,42,46.093983837174505,33.52289733612691,39.00609612464905,28.949448466300964,7.087887712525458,4.5734488698259455,7.087887712525458,ppo,2048000,False
40.0,0.0004,0.00055,6.5,3.0,42,46.093983837174505,33.52289733612691,41.25150442123413,30.13784885406494,4.842479415940375,3.3850484820619684,4.842479415940375,ppo,2048000,False
25.0,0.0004,0.00055,6.5,3.0,456,59.230769230769226,43.07692307692308,58.58846306800842,42.302313446998596,0.6423061627608035,0.774609629924484,0.774609629924484,ppo,2048000,True
25.0,0.0004,0.00055,6.5,3.0,456,59.230769230769226,43.07692307692308,53.441089391708374,38.47416937351227,5.789679839060852,4.602753703410812,5.789679839060852,ppo,2048000,True
25.0,0.0004,0.00055,6.5,3.0,456,59.230769230769226,43.07692307692308,58.29978585243225,41.34469926357269,0.9309833783369754,1.7322238133503873,1.7322238133503873,ppo,2048000,True
25.0,0.0004,0.00055,6.5,3.0,456,59.230769230769226,43.07692307692308,57.63861536979675,42.25592911243439,1.5921538609724735,0.820993964488693,1.5921538609724735,ppo,2048000,True
40.0,0.0004,0.00055,6.5,3.0,42,46.093983837174505,33.52289733612691,44.94490027427673,33.44969153404236,1.149083562897772,0.07320580208455141,1.149083562897772,ppo,2048000,True
40.0,0.0004,0.00055,6.5,3.0,42,46.093983837174505,33.52289733612691,43.792369961738586,31.62199854850769,2.301613875435919,1.9008987876192194,2.301613875435919,ppo,2048000,True
40.0,0.0004,0.00055,6.5,3.0,42,46.093983837174505,33.52289733612691,45.83790302276611,34.5865398645401,0.25608081440839214,1.0636425284131903,1.0636425284131903,ppo,2048000,True
