Episode,Effort,Reward,Loss
0,49.15,3.2,4.203
1,47.39,3.13,5.4939
2,47.7,3.14,4.1129
3,49.7,3.13,5.552
4,48.63,3.21,3.0291
5,47.68,3.2,3.8641
6,47.65,3.07,3.6703
7,47.41,3.06,4.0108
8,47.89,3.16,3.0054
9,48.51,3.18,3.3503
10,48.14,3.11,2.9462
11,48.57,3.14,3.7418
12,47.78,3.05,2.8066
13,47.43,3.2,3.1869
14,49.06,3.13,5.4176
15,48.14,3.15,3.0383
16,48.78,3.15,4.0749
17,46.93,3.08,4.6832
18,48.82,3.17,3.81
19,47.04,3.17,4.8415
20,47.94,3.15,2.9645
21,49.96,3.21,8.2969
22,48.0,3.15,2.9735
23,48.29,3.14,2.8879
24,50.15,3.19,8.0503
25,47.53,3.15,4.3714
26,46.84,3.04,7.4167
27,48.58,3.21,2.9519
28,49.14,3.04,3.2981
29,48.78,3.07,2.8816
30,48.31,3.03,2.9207
31,48.17,3.07,3.1222
32,49.49,3.11,4.0786
33,47.51,3.07,4.7685
34,48.85,3.04,2.8825
35,48.15,3.1,3.1583
36,48.68,3.01,2.7889
37,48.07,3.08,3.1701
38,47.3,3.03,4.9599
39,47.62,3.04,3.7024
40,47.09,3.03,4.9068
41,48.74,2.98,3.3488
42,47.27,2.97,3.4695
43,45.11,2.98,13.7929
44,48.6,2.95,4.2005
45,48.23,2.99,3.7248
46,47.85,3.03,3.2312
47,43.87,2.93,19.1047
48,46.7,2.96,2.8713
49,45.19,2.91,6.6261
50,46.86,3.01,2.8708
51,47.59,2.89,4.7223
52,45.94,2.93,2.8503
53,45.91,3.01,2.8359
54,45.25,2.83,3.3862
55,46.51,2.95,3.3589
56,45.74,2.95,2.7144
57,47.75,2.87,8.9835
58,46.07,2.92,2.9571
59,45.4,3.0,2.853
60,47.92,2.92,10.2064
61,45.21,2.9,3.0743
62,45.94,2.87,2.668
63,47.2,2.92,5.3072
64,45.02,2.86,3.9075
65,45.02,2.9,4.1349
66,45.84,2.96,2.7818
67,45.09,2.9,3.9711
68,45.32,2.89,3.346
69,43.94,2.93,8.6306
70,45.77,2.88,2.6533
71,45.47,2.9,2.7484
72,45.01,2.93,3.1807
73,45.37,2.91,2.6882
74,43.86,2.93,5.8851
75,43.81,2.93,5.3982
76,45.13,2.85,2.6549
77,45.31,2.91,3.056
78,44.92,2.85,2.7176
79,44.11,2.95,2.9805
80,46.28,2.94,7.7775
81,43.86,2.85,3.0108
82,44.21,2.93,2.7127
83,44.84,2.95,3.1698
84,44.04,2.8,2.6336
85,42.97,2.9,4.943
86,43.46,2.88,3.3268
87,43.85,2.84,2.6642
88,44.12,2.89,2.6989
89,43.59,2.86,2.7412
90,43.59,2.87,2.6971
91,43.94,2.9,2.7432
92,42.76,2.89,3.7789
93,44.55,2.9,4.1337
94,43.78,2.94,2.8193
95,42.47,2.89,4.1089
96,43.75,2.92,2.8599
97,43.01,2.84,2.783
98,44.98,2.88,6.7055
99,44.28,2.81,3.871
100,44.35,2.89,4.033
101,44.0,2.94,3.1101
102,43.45,2.85,2.6433
103,43.55,2.9,2.682
104,44.26,2.81,2.9772
105,44.34,2.9,3.0532
