Episode,Effort,Raw_Reward,Normalized_Reward,Loss,Baseline,LR,Std_Dev
0,41.06,4.0767,4.0767,19.7064,0.0,0.000100,0.4998
1,41.11,4.1319,4.1319,19.966,0.0,0.000100,0.4995
2,46.69,3.8076,3.8076,18.3358,0.0,0.000100,0.4993
3,0.0,3.6924,3.6924,19.6145,0.0,0.000100,0.499
4,91.34,2.9329,2.9329,15.096,0.0,0.000100,0.4988
5,0.0,3.4918,3.4918,18.5343,0.0,0.000100,0.4985
6,27.76,2.898,2.898,14.1971,0.0,0.000100,0.4983
7,68.28,2.0215,2.0215,9.8079,0.0,0.000100,0.498
8,18.38,2.9814,2.9814,14.8987,0.0,0.000100,0.4978
9,0.0,3.2607,3.2607,17.2816,0.0,0.000100,0.4975
10,63.09,4.36,1.428,6.8405,0.0,0.000100,0.4973
11,96.01,2.5984,-1.1315,-6.0538,0.0,0.000100,0.497
12,100.0,2.3322,-1.3531,-7.3277,0.0,0.000100,0.4968
13,61.88,3.1059,-0.2343,-1.2487,0.0,0.000100,0.4965
14,100.0,1.8552,-1.7779,-9.5989,0.0,0.000100,0.4963
15,75.59,3.1521,-0.0231,-0.2321,0.0,0.000100,0.496
16,83.83,3.0958,-0.0988,-0.62,0.0,0.000100,0.4958
17,26.44,4.1043,1.2526,6.0609,0.0,0.000100,0.4955
18,81.75,3.4895,0.3733,1.7533,0.0,0.000100,0.4953
19,100.0,1.7438,-1.8869,-10.1899,0.0,0.000100,0.495
20,32.96,5.2071,2.2941,11.071,0.0,0.000100,0.4948
21,82.84,3.3921,0.1582,0.6691,0.0,0.000100,0.4945
22,95.14,2.4997,-0.8784,-4.7326,0.0,0.000100,0.4943
23,0.0,3.0145,-0.2513,-1.4745,0.0,0.000100,0.494
24,87.9,3.2854,0.0806,0.2794,0.0,0.000100,0.4938
25,91.44,2.3998,-0.9919,-5.264,0.0,0.000100,0.4935
26,71.3,3.7948,0.738,3.4937,0.0,0.000100,0.4933
27,100.0,2.2682,-1.1449,-6.2425,0.0,0.000100,0.493
28,52.0,2.8029,-0.4623,-2.3573,0.0,0.000100,0.4928
29,57.02,4.7935,1.9088,9.0827,0.0,0.000100,0.4926
30,0.0,3.0145,-0.2446,-1.4429,0.0,0.000100,0.4923
31,71.3,4.2501,1.2263,5.8876,0.0,0.000100,0.4921
32,100.0,2.4008,-0.9992,-5.4686,0.0,0.000100,0.4918
33,47.92,3.4626,0.2914,1.2708,0.0,0.000100,0.4916
34,0.0,4.5833,1.5906,8.337,0.0,0.000100,0.4913
35,0.0,3.5939,0.3898,1.9356,0.0,0.000100,0.4911
36,46.19,4.932,1.8948,8.9908,0.0,0.000100,0.4908
37,0.0,4.75,1.6003,8.3854,0.0,0.000100,0.4906
38,45.43,3.6018,0.277,1.1971,0.0,0.000100,0.4903
39,42.8,4.7037,1.4942,7.0664,0.0,0.000100,0.4901
40,42.25,4.4078,1.1235,5.2786,0.0,0.000100,0.4899
41,100.0,2.188,-1.3572,-7.3885,0.0,0.000100,0.4896
42,43.56,4.5377,1.2515,5.8875,0.0,0.000100,0.4894
43,11.15,3.4686,0.0548,0.1306,0.0,0.000100,0.4891
44,0.0,3.7817,0.4038,1.9968,0.0,0.000100,0.4889
45,58.82,4.7373,1.4445,6.8223,0.0,0.000100,0.4886
46,39.27,5.1596,1.8298,8.6922,0.0,0.000100,0.4884
47,64.82,2.5413,-1.022,-5.112,0.0,0.000100,0.4881
48,69.1,4.0452,0.6188,2.8691,0.0,0.000100,0.4879
49,85.77,2.7858,-0.7592,-4.0126,0.0,0.000100,0.4877
50,43.01,5.111,1.7447,8.2484,0.0,0.000100,0.4874
51,35.95,4.1283,0.6691,3.0863,0.0,0.000100,0.4872
