Scenario,q,Method,Mean±std,|ē−e*|,RelErr,Polished,Polished |ē−e*|,Polished RelErr,Exploitability,Symmetry Gap,Conv. Update (verified),raw_err_of_mean,raw_mae_across_seeds,polished_err_of_mean,polished_mae_across_seeds
Two-Player,35,Theory,45.45,0.00,0.00%,-,-,-,0.000,0.00,-,0.00,0.00,-,-
Two-Player,35,TEL-PPO,43.58±1.25,1.87,4.12%,44.95,0.51,1.12%,0.009,0.10,55,1.87,1.87,0.51,0.51
Two-Player,55,Theory,28.93,0.00,0.00%,-,-,-,0.000,0.00,-,0.00,0.00,-,-
Two-Player,55,TEL-PPO,29.65±0.76,0.79,2.74%,28.76,0.17,0.58%,0.006,0.04,87,0.73,0.79,0.17,0.17
Three-Player,35,Theory,25.00,0.00,0.00%,-,-,-,0.000,0.00,-,0.00,0.00,-,-
Three-Player,35,TEL-PPO,22.99±0.28,2.01,8.03%,24.68,0.32,1.28%,0.006,0.00,305,2.01,2.01,0.25,0.25
Three-Player,55,Theory,15.91,0.00,0.00%,-,-,-,0.000,0.00,-,0.00,0.00,-,-
Three-Player,55,TEL-PPO,15.31±1.13,1.05,6.63%,15.82,0.09,0.57%,0.004,0.00,303,0.60,1.05,0.07,0.07
Het. Cost,35,Theory,32.84,0.00,0.00%,-,-,-,0.000,0.00,-,0.00,0.00,-,-
Het. Cost,35,TEL-PPO,32.47±1.12,0.94,2.88%,32.85,0.01,0.02%,0.002,10.48,305,0.37,0.94,0.01,0.04
Het. Cost,55,Theory,22.92,0.00,0.00%,-,-,-,0.000,0.00,-,0.00,0.00,-,-
Het. Cost,55,TEL-PPO,22.71±1.40,1.07,4.69%,22.93,0.01,0.06%,0.002,7.37,303,0.21,1.07,0.01,0.02
Het. Ability,35,Theory,46.43,0.00,0.00%,-,-,-,0.000,0.00,-,0.00,0.00,-,-
Het. Ability,35,TEL-PPO,43.99±0.20,2.44,5.25%,46.45,0.02,0.04%,0.029,0.00,1153,2.44,2.44,0.02,0.04
Het. Ability,55,Theory,30.37,0.00,0.00%,-,-,-,0.000,0.00,-,0.00,0.00,-,-
Het. Ability,55,TEL-PPO,29.70±0.85,0.99,3.26%,30.37,0.01,0.02%,0.026,0.00,1002,0.67,0.99,0.01,0.01
