run_id,variant_name,stage1_weight,stage2_weight,k1,k2,information_revelation,theoretical_stage1_effort,theoretical_stage2_effort,Model_training,final_stage1_effort,final_stage2_effort,final_weighted_effort,Convergence_Quality,episodes,Gap_from_theoretical,abs_err,stage2_gap_unweighted,gradient_iterations,gradient_final_grad,gradient_mode,opp_mode,opp_sync_interval,opp_ema_tau,opp_hist_size,last_sync_step,approx_kl,batch_entropy,alpha_mean,beta_mean,eval_vs_opponent_effort,eval_vs_opponent_reward,eval_vs_opponent_opp_effort,eval_vs_opponent_abs_err,eval_vs_history_effort_mean,eval_vs_history_effort_std,eval_vs_history_reward_mean,eval_vs_history_reward_std,eval_vs_history_abs_err_mean
20251218_165529,entropy_end_0.025,3.0,6.5,0.0004,0.0004,none,0.0,54.6875,ppo,0.0,66.72030091285706,433.68195593357086,Poor,4096,78.21320593357086,12.032800912857056,12.032800912857056,,,,periodic,2,0.2,0,-1,0.10275135396295809,-0.15402166421214739,1.3997604846954346,2.796145439147949,,,,,,,,,
test123,my_variant,3.0,6.5,0.0004,0.0004,none,0.0,54.6875,ppo,0.0,65.41653275489807,425.20746290683746,Poor,4096,69.73871290683746,10.729032754898071,10.729032754898071,,,,periodic,2,0.2,0,-1,0.08581439783544435,-0.15414615347981453,1.3357698917388916,2.7481207847595215,,,,,,,,,
20251218_171439,entropy_end_0.025,3.0,6.5,0.0004,0.0004,none,0.0,54.6875,ppo,0.0,49.58694577217102,322.31514751911163,Poor,2048000,33.15360248088837,5.1005542278289795,5.1005542278289795,,,,periodic,2,0.2,0,500,0.0012049457679192226,-1.8287353515625,30.261098861694336,91.79158020019531,49.58694577217102,5.516453742980957,49.58694577217102,5.1005542278289795,,,,,
20251218_184458,lr_end_0.0003,3.0,6.5,0.0004,0.0004,none,0.0,54.6875,ppo,0.0,47.8511780500412,311.0326573252678,Poor,2048000,44.43609267473221,6.836321949958801,6.836321949958801,,,,periodic,2,0.2,0,500,0.010365289325515429,-1.8811327616373699,31.874370574951172,101.34856414794922,47.8511780500412,5.584105968475342,47.8511780500412,6.836321949958801,,,,,
20251218_201358,clip_end_0.45,3.0,6.5,0.0004,0.0004,none,0.0,54.6875,ppo,0.0,50.69003701210022,329.4852405786514,Poor,2048000,25.983509421348572,3.9974629878997803,3.9974629878997803,,,,periodic,2,0.2,0,500,0.0014419642587502797,-1.8459205627441406,32.63417053222656,96.12554168701172,50.69003701210022,5.472208023071289,50.69003701210022,3.9974629878997803,,,,,
20251218_214205,target_kl_0.12,3.0,6.5,0.0004,0.0004,none,0.0,54.6875,ppo,0.0,49.72411394119263,323.2067406177521,Poor,2048000,32.262009382247925,4.963386058807373,4.963386058807373,,,,periodic,2,0.2,0,500,0.00015530921518802643,-1.8667894999186199,32.810081481933594,99.15840911865234,49.72411394119263,5.51100492477417,49.72411394119263,4.963386058807373,,,,,
20251219_clip055,clip_end_0.55,3.0,6.5,0.0004,0.0004,none,0.0,54.6875,ppo,0.0,45.09020447731018,293.0863291025162,Poor,2048000,62.382420897483826,9.59729552268982,9.59729552268982,,,,periodic,2,0.2,0,500,0.0018756712476412456,-1.8856519063313801,28.962787628173828,99.50320434570312,45.09020447731018,5.686749458312988,45.09020447731018,9.59729552268982,,,,,
20251219_clip050,clip_end_0.50,3.0,6.5,0.0004,0.0004,none,0.0,54.6875,ppo,0.0,49.68805015087128,322.9723259806633,Poor,2048000,32.4964240193367,4.999449849128723,4.999449849128723,,,,periodic,2,0.2,0,500,0.0021297025183836618,-1.8549029032389324,32.12886428833008,97.19342803955078,49.68805015087128,5.512439250946045,49.68805015087128,4.999449849128723,,,,,
20251219_clip045_ep8,clip_end_0.45_ep8,3.0,6.5,0.0004,0.0004,none,0.0,54.6875,ppo,0.0,49.27535057067871,320.2897787094116,Poor,2048000,35.17897129058838,5.412149429321289,5.412149429321289,,,,periodic,2,0.2,0,500,0.0028014294803142548,-1.9391956329345703,37.023170471191406,113.24738311767578,,,,,,,,,
20251220_053459,baseline,3.0,6.5,0.0004,0.0004,none,0.0,54.6875,ppo,0.0,48.079660534858704,312.5177934765816,Poor,2048000,42.95095652341843,6.607839465141296,6.607839465141296,,,,periodic,2,0.2,0,500,0.0005731924126545588,-1.8752555847167969,31.54855728149414,99.68597412109375,,,,,,,,,
20251220_080124,entropy_end_0.0,3.0,6.5,0.0004,0.0004,none,0.0,54.6875,ppo,0.0,48.1938362121582,313.2599353790283,Poor,2048000,42.20881462097168,6.493663787841797,6.493663787841797,,,,periodic,2,0.2,0,500,0.0002470395217339198,-1.9179026285807292,34.361305236816406,108.2349624633789,,,,,,,,,
20251220_161239,baseline,3.0,6.5,0.0004,0.0004,none,0.0,54.6875,ppo,0.0,47.111889719963074,306.22728317976,Poor,2048000,49.24146682024002,7.575610280036926,7.575610280036926,,,,periodic,2,0.2,0,500,0.0015551093965768814,-1.8632431030273438,29.835573196411133,96.82278442382812,,,,,,,,,
20251220_224519,target_kl_0.01,3.0,6.5,0.0004,0.0004,none,0.0,54.6875,ppo,0.0,48.161086440086365,313.04706186056137,Poor,2048000,42.42168813943863,6.526413559913635,6.526413559913635,,,,periodic,2,0.2,0,500,2.4330491820971172e-05,-1.8435827891031902,29.516557693481445,93.05774688720703,,,,,,,,,,,,,,,,
conv_test,conv_test,3.0,6.5,0.0004,0.0004,none,0.0,54.6875,ppo,0.0,49.294453859329224,320.41395008563995,Poor,2048000,35.054799914360046,5.393046140670776,5.393046140670776,,,,periodic,2,0.2,0,500,3.250688314437866e-05,-1.840527852376302,30.552705764770508,93.40731048583984,0.00020878901705145836,5.09031391023503e-05,1.0706846714019775,1.0000184004505475,0.0,0.0,0.001112818717956543,,,,,,0.021269395947435044,0,0,0,,,,,,,,,
conv_test,conv_test,3.0,6.5,0.0004,0.0004,none,0.0,54.6875,ppo,0.0,50.2386748790741,326.5513867139816,Poor,2048000,28.91736328601837,4.448825120925903,4.448825120925903,,,,periodic,2,0.2,0,500,0.0008557861049969991,-1.8386739095052083,31.432878494262695,93.70130920410156,0.0008217633003368974,0.0003324879435240291,1.1701178550720215,0.9994767109553019,0.0,0.0,0.0036752521991729736,0.0020538655779602233,0.0020937441800074827,0.9990990161895752,,,0.1788887004369073,0,0,0,,,,,,,,,
