ts,event,queue,idx,gpu,info,cmd
2026-07-31T17:39:34+00:00,START,jobs,0,gpu0,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 35 --seed 42 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-07-31T17:39:34+00:00,START,jobs,1,gpu1,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 35 --seed 43 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-07-31T17:39:34+00:00,START,jobs,2,gpu2,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 35 --seed 44 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-07-31T17:39:34+00:00,START,jobs,3,gpu3,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 35 --seed 45 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-07-31T17:39:34+00:00,START,jobs,4,gpu4,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 35 --seed 46 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-07-31T17:39:34+00:00,START,jobs,5,gpu5,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 42 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-07-31T17:39:34+00:00,START,jobs,6,gpu6,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 43 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-07-31T17:39:34+00:00,START,jobs,7,gpu7,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 44 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-07-31T22:30:22+00:00,END,jobs,2,gpu2,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 35 --seed 44 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-07-31T22:30:22+00:00,START,jobs,8,gpu2,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 45 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-07-31T22:35:49+00:00,END,jobs,0,gpu0,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 35 --seed 42 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-07-31T22:35:49+00:00,START,jobs,9,gpu0,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 46 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-07-31T22:36:44+00:00,END,jobs,6,gpu6,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 43 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-07-31T22:36:44+00:00,START,jobs,10,gpu6,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 42 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-07-31T22:38:03+00:00,END,jobs,4,gpu4,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 35 --seed 46 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-07-31T22:38:03+00:00,START,jobs,11,gpu4,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 43 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-07-31T22:39:54+00:00,END,jobs,5,gpu5,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 45 --seed 42 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
2026-07-31T22:39:54+00:00,START,jobs,12,gpu5,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 44 --disable-exploitability --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r7_fig7_no_exploit"
