ts,event,queue,idx,gpu,info,cmd
2026-08-03T13:01:19+00:00,START,jobs,0,gpu0,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 42 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r8_sens_eps001"
2026-08-03T13:01:19+00:00,START,jobs,1,gpu1,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_three_players.py --method ppo --q 55 --seed 42 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r8_sens_eps001"
2026-08-03T13:01:19+00:00,START,jobs,2,gpu2,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 43 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r8_sens_eps001"
2026-08-03T13:01:19+00:00,START,jobs,3,gpu3,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_three_players.py --method ppo --q 55 --seed 43 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r8_sens_eps001"
2026-08-03T13:01:19+00:00,START,jobs,4,gpu4,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 44 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r8_sens_eps001"
2026-08-03T13:01:19+00:00,START,jobs,5,gpu5,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_three_players.py --method ppo --q 55 --seed 44 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r8_sens_eps001"
2026-08-03T13:01:19+00:00,START,jobs,6,gpu6,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 45 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r8_sens_eps001"
2026-08-03T13:01:19+00:00,START,jobs,7,gpu7,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_three_players.py --method ppo --q 55 --seed 45 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r8_sens_eps001"
2026-08-03T13:03:23+00:00,END,jobs,4,gpu4,rc=1,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 44 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r8_sens_eps001"
2026-08-03T13:03:23+00:00,START,jobs,8,gpu4,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 46 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r8_sens_eps001"
