ts,event,queue,idx,gpu,info,cmd
2026-08-03T13:21:27+00:00,START,jobs,0,gpu2,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 42 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r8_sens_eps001"
2026-08-03T13:21:27+00:00,START,jobs,1,gpu4,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 43 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r8_sens_eps001"
2026-08-03T13:21:27+00:00,START,jobs,2,gpu6,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 44 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r8_sens_eps001"
2026-08-03T13:37:58+00:00,END,jobs,2,gpu6,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 44 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r8_sens_eps001"
2026-08-03T13:37:58+00:00,START,jobs,3,gpu6,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 45 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r8_sens_eps001"
2026-08-03T13:38:04+00:00,END,jobs,1,gpu4,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 43 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r8_sens_eps001"
2026-08-03T13:38:04+00:00,START,jobs,4,gpu4,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 46 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r8_sens_eps001"
2026-08-03T13:39:08+00:00,END,jobs,0,gpu2,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 42 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r8_sens_eps001"
2026-08-03T13:55:50+00:00,END,jobs,4,gpu4,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 46 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r8_sens_eps001"
2026-08-03T14:06:16+00:00,END,jobs,3,gpu6,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 45 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r8_sens_eps001"
