ts,event,queue,idx,gpu,info,cmd
2026-08-02T21:14:22+00:00,START,jobs,0,gpu0,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 42 --theory-align-v2 --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r8_unified"
2026-08-02T21:14:22+00:00,START,jobs,1,gpu1,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 43 --theory-align-v2 --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r8_unified"
2026-08-02T21:14:22+00:00,START,jobs,2,gpu2,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 44 --theory-align-v2 --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r8_unified"
2026-08-02T21:14:22+00:00,START,jobs,3,gpu3,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 45 --theory-align-v2 --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r8_unified"
2026-08-02T21:14:22+00:00,START,jobs,4,gpu4,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 46 --theory-align-v2 --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r8_unified"
2026-08-02T21:14:22+00:00,START,jobs,5,gpu5,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 42 --theory-align-v2 --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r8_unified"
2026-08-02T21:14:22+00:00,START,jobs,6,gpu6,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 43 --theory-align-v2 --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r8_unified"
2026-08-02T21:14:22+00:00,START,jobs,7,gpu7,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 44 --theory-align-v2 --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r8_unified"
2026-08-02T21:19:04+00:00,END,jobs,1,gpu1,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 43 --theory-align-v2 --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r8_unified"
2026-08-02T21:19:04+00:00,START,jobs,8,gpu1,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 45 --theory-align-v2 --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r8_unified"
2026-08-02T21:20:18+00:00,END,jobs,0,gpu0,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 42 --theory-align-v2 --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r8_unified"
2026-08-02T21:20:18+00:00,START,jobs,9,gpu0,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 55 --seed 46 --theory-align-v2 --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r8_unified"
2026-08-02T21:21:27+00:00,END,jobs,2,gpu2,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 44 --theory-align-v2 --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r8_unified"
2026-08-02T21:21:27+00:00,START,jobs,10,gpu2,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_three_players.py --method ppo --q 35 --seed 42 --theory-align-v2 --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r8_unified"
2026-08-02T21:22:05+00:00,END,jobs,3,gpu3,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 45 --theory-align-v2 --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r8_unified"
2026-08-02T21:22:05+00:00,START,jobs,11,gpu3,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_three_players.py --method ppo --q 35 --seed 43 --theory-align-v2 --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r8_unified"
2026-08-02T21:22:50+00:00,END,jobs,4,gpu4,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_ability.py --method ppo --q 35 --seed 46 --theory-align-v2 --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r8_unified"
2026-08-02T21:22:50+00:00,START,jobs,12,gpu4,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_three_players.py --method ppo --q 35 --seed 44 --theory-align-v2 --override-conc-ramp-warmup 200 --episodes 6144000 --ablation-name r8_unified"
