ts,event,queue,idx,gpu,info,cmd
2026-08-03T19:36:31+00:00,START,jobs,0,gpu0,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_cost.py --method ppo --q 35 --seed 42 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T19:36:31+00:00,START,jobs,1,gpu1,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_cost.py --method ppo --q 35 --seed 43 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T19:36:31+00:00,START,jobs,2,gpu2,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_cost.py --method ppo --q 35 --seed 44 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T19:36:31+00:00,START,jobs,3,gpu3,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_cost.py --method ppo --q 35 --seed 45 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T19:36:31+00:00,START,jobs,4,gpu4,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_cost.py --method ppo --q 35 --seed 46 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T19:36:32+00:00,START,jobs,5,gpu5,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_cost.py --method ppo --q 55 --seed 42 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T19:36:32+00:00,START,jobs,6,gpu6,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_cost.py --method ppo --q 55 --seed 43 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T19:36:32+00:00,START,jobs,7,gpu7,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_cost.py --method ppo --q 55 --seed 44 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T19:55:18+00:00,END,jobs,4,gpu4,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_cost.py --method ppo --q 35 --seed 46 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T19:55:18+00:00,START,jobs,8,gpu4,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_cost.py --method ppo --q 55 --seed 45 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T19:58:09+00:00,END,jobs,2,gpu2,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_cost.py --method ppo --q 35 --seed 44 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T19:58:09+00:00,START,jobs,9,gpu2,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_cost.py --method ppo --q 55 --seed 46 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:00:27+00:00,END,jobs,3,gpu3,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_cost.py --method ppo --q 35 --seed 45 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:00:27+00:00,START,jobs,10,gpu3,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 42 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:00:40+00:00,END,jobs,7,gpu7,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_cost.py --method ppo --q 55 --seed 44 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:00:40+00:00,START,jobs,11,gpu7,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 42 --k 0.0006 --w_h 8 --w_l 4 --variant-name wh8_wl4 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:01:14+00:00,END,jobs,6,gpu6,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_cost.py --method ppo --q 55 --seed 43 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:01:14+00:00,START,jobs,12,gpu6,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 42 --disable-cheap-gate --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_fig7_no_stability"
2026-08-03T20:04:09+00:00,END,jobs,1,gpu1,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_cost.py --method ppo --q 35 --seed 43 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:04:09+00:00,START,jobs,13,gpu1,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 43 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:05:19+00:00,END,jobs,0,gpu0,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_cost.py --method ppo --q 35 --seed 42 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:05:19+00:00,START,jobs,14,gpu0,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 43 --k 0.0006 --w_h 8 --w_l 4 --variant-name wh8_wl4 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:06:27+00:00,END,jobs,5,gpu5,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_cost.py --method ppo --q 55 --seed 42 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:06:27+00:00,START,jobs,15,gpu5,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 43 --disable-cheap-gate --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_fig7_no_stability"
2026-08-03T20:21:39+00:00,END,jobs,8,gpu4,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_different_cost.py --method ppo --q 55 --seed 45 --theory-align-v2 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:21:39+00:00,START,jobs,16,gpu4,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 44 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:21:54+00:00,END,jobs,10,gpu3,rc=0,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 42 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
2026-08-03T20:21:54+00:00,START,jobs,17,gpu3,,"/home/fjiang4/tournament_experiment/.venv/bin/python run/run_two_players.py --method ppo --q 55 --seed 44 --k 0.0006 --w_h 8 --w_l 4 --variant-name wh8_wl4 --override-conc-ramp-warmup 200 --exploit-eps 0.01 --exploit-M 65536 --episodes 6144000 --ablation-name r9_cert001"
