update,steps,gap,gap1,gap2,e1,e2,entropy,clip_eps,lr,approx_kl
1,16384,29.848555326461792,29.84536051750183,29.848555326461792,48.90463948249817,48.90144467353821,0.02,0.25,0.0003,0.04662685349151161
2,32768,29.332042336463928,29.332042336463928,28.867850303649902,49.41795766353607,49.8821496963501,0.02,0.2,0.00023999999999999998,0.03215851952018056
3,49152,27.977094650268555,27.977094650268555,27.01067090034485,50.772905349731445,51.73932909965515,0.02,0.2,0.00023999999999999998,0.03082081962020311
4,65536,25.89328646659851,25.89328646659851,24.649152755737305,52.85671353340149,54.100847244262695,0.02,0.2,0.00023999999999999998,0.028837135355570354
5,81920,23.77004384994507,23.77004384994507,22.244713306427002,54.97995615005493,56.505286693573,0.02,0.2,0.00023999999999999998,0.020997495936171617
6,98304,21.693161725997925,21.693161725997925,20.04742980003357,57.056838274002075,58.70257019996643,0.02,0.2,0.00023999999999999998,0.02118930192082189
7,114688,20.072922706604004,20.072922706604004,18.23347568511963,58.677077293395996,60.51652431488037,0.02,0.2,0.00023999999999999998,0.013369130418868735
8,131072,18.57183337211609,18.57183337211609,16.626582145690918,60.17816662788391,62.12341785430908,0.02,0.2,0.00023999999999999998,0.0116177929303376
9,147456,17.138627767562866,17.138627767562866,15.14298677444458,61.611372232437134,63.60701322555542,0.02,0.2,0.00023999999999999998,0.0108067037188448
10,163840,15.865967273712158,15.865967273712158,13.854477405548096,62.88403272628784,64.8955225944519,0.02,0.2,0.00023999999999999998,0.009781313285930082
11,180224,14.719626903533936,14.719626903533936,12.763622999191284,64.03037309646606,65.98637700080872,0.02,0.2,0.00023999999999999998,0.007421357376733795
12,196608,13.45342755317688,13.45342755317688,11.446276903152466,65.29657244682312,67.30372309684753,0.02,0.24,0.0003,0.012345415516756475
13,212992,12.27864384651184,12.27864384651184,10.241118669509888,66.47135615348816,68.50888133049011,0.02,0.24,0.0003,0.009651526669040322
14,229376,11.10863447189331,11.10863447189331,9.129247665405273,67.64136552810669,69.62075233459473,0.02,0.24,0.0003,0.009866446198429912
15,245760,10.073069334030151,10.073069334030151,8.092812299728394,68.67693066596985,70.6571877002716,0.02,0.24,0.0003,0.008481115230824798
16,262144,9.284231662750244,9.284231662750244,7.52345085144043,69.46576833724976,71.22654914855957,0.02,0.24,0.0003,0.005961084109731019
17,278528,8.246890306472778,8.246890306472778,6.53477668762207,70.50310969352722,72.21522331237793,0.02,0.288,0.00037499999999999995,0.010674401640426368
18,294912,7.374552488327026,7.374552488327026,5.895123481750488,71.37544751167297,72.85487651824951,0.02,0.288,0.00037499999999999995,0.009208297415170819
19,311296,6.542906761169434,6.542906761169434,5.272237062454224,72.20709323883057,73.47776293754578,0.02,0.288,0.00037499999999999995,0.00729636694304645
20,327680,5.4674601554870605,5.4674601554870605,4.247537851333618,73.28253984451294,74.50246214866638,0.02,0.34559999999999996,0.00045,0.012672904611099512
21,344064,4.693243503570557,4.693243503570557,3.883734941482544,74.05675649642944,74.86626505851746,0.02,0.34559999999999996,0.00045,0.005735463660676033
22,360448,3.8341856002807617,3.8341856002807617,3.1294918060302734,74.91581439971924,75.62050819396973,0.02,0.375,0.00045,0.01027049832046032
23,376832,3.866872787475586,3.866872787475586,3.5329973697662354,74.88312721252441,75.21700263023376,0.02,0.375,0.00045,0.0011013530427590012
24,393216,3.2646751403808594,3.2646751403808594,2.8483664989471436,75.48532485961914,75.90163350105286,0.02,0.375,0.00045,0.005171972746029496
25,409600,3.5772955417633057,3.5772955417633057,3.5168981552124023,75.1727044582367,75.2331018447876,0.02,0.375,0.00045,0.0059512104140594605
26,425984,2.9911255836486816,2.9911255836486816,2.8563952445983887,75.75887441635132,75.89360475540161,0.02,0.375,0.00045,0.008157406351529062
27,442368,3.4541940689086914,3.07478666305542,3.4541940689086914,75.67521333694458,75.29580593109131,0.02,0.375,0.00045,0.002957569039426744
28,458752,4.231903553009033,3.6432182788848877,4.231903553009033,75.10678172111511,74.51809644699097,0.02,0.375,0.00045,0.009696850134059787
29,475136,3.4944987297058105,3.254411220550537,3.4944987297058105,75.49558877944946,75.25550127029419,0.02,0.375,0.00045,0.005794067704118788
30,491520,3.6369240283966064,3.3378398418426514,3.6369240283966064,75.41216015815735,75.1130759716034,0.02,0.375,0.00045,0.0020943116396665573
31,507904,3.7394917011260986,3.0902719497680664,3.7394917011260986,75.65972805023193,75.0105082988739,0.02,0.375,0.00045,0.0018043487099930644
32,524288,4.0769195556640625,3.347752094268799,4.0769195556640625,75.4022479057312,74.67308044433594,0.02,0.375,0.00045,0.0030486230622045695
33,540672,4.243180751800537,3.206143379211426,4.243180751800537,75.54385662078857,74.50681924819946,0.02,0.375,0.00045,0.0019501580507494509
34,557056,4.89777684211731,3.5361266136169434,4.89777684211731,75.21387338638306,73.85222315788269,0.02,0.375,0.00045,0.005221039848402142
35,573440,5.491105318069458,4.142627716064453,5.491105318069458,74.60737228393555,73.25889468193054,0.02,0.375,0.00045,0.007317281485302374
36,589824,6.473443508148193,4.811958074569702,6.473443508148193,73.9380419254303,72.2765564918518,0.02,0.375,0.00045,0.009505919116782025
37,606208,7.189503908157349,5.257192850112915,7.189503908157349,73.49280714988708,71.56049609184265,0.02,0.375,0.00045,0.005332510976586491
38,622592,7.986990213394165,5.839160680770874,7.986990213394165,72.91083931922913,70.76300978660583,0.02,0.375,0.00045,0.0075236445671180265
39,638976,8.702681064605713,6.363699436187744,8.702681064605713,72.38630056381226,70.04731893539429,0.02,0.375,0.00045,0.006573891654261388
40,655360,9.922877550125122,7.088354825973511,9.922877550125122,71.66164517402649,68.82712244987488,0.02,0.375,0.00045,0.010449288508971222
41,671744,11.297354698181152,7.8357672691345215,11.297354698181152,70.91423273086548,67.45264530181885,0.02,0.375,0.00045,0.012561846863536629
42,688128,12.772504091262817,8.53467345237732,12.772504091262817,70.21532654762268,65.97749590873718,0.02,0.375,0.00045,0.011323521814483683
43,704512,14.435104131698608,9.175691604614258,14.435104131698608,69.57430839538574,64.31489586830139,0.02,0.375,0.00045,0.01736055622459389
44,720896,22.775743007659912,9.925404787063599,22.775743007659912,68.8245952129364,55.97425699234009,0.02,0.375,0.00045,0.09008927906616009
45,737280,41.547749042510986,10.617194175720215,41.547749042510986,68.13280582427979,37.202250957489014,0.02,0.30000000000000004,0.00036,0.19754475354748138
46,753664,63.06684225797653,11.321101188659668,63.06684225797653,67.42889881134033,15.683157742023468,0.02,0.24000000000000005,0.000288,0.3386292305599568
47,770048,65.98473697900772,12.331739664077759,65.98473697900772,66.41826033592224,12.765263020992279,0.02,0.19200000000000006,0.00023040000000000004,0.02890520018263487
48,786432,69.4624288380146,13.82031798362732,69.4624288380146,64.92968201637268,9.287571161985397,0.02,0.19200000000000006,0.00023040000000000004,0.05714658221477294
49,802816,71.20249703526497,15.228394269943237,71.20249703526497,63.52160573005676,7.547502964735031,0.02,0.15360000000000007,0.00018432000000000008,0.03648505198507337
