update,steps,gap,gap1,gap2,e1,e2,entropy,clip_eps,lr,approx_kl
1,16384,30.04249393939972,30.04249393939972,29.982275366783142,48.70750606060028,48.76772463321686,0.02,0.25,0.0003,0.053794198398895786
2,32768,29.19829249382019,29.19829249382019,28.403303623199463,49.55170750617981,50.34669637680054,0.02,0.2,0.00023999999999999998,0.03389464871033852
3,49152,27.395508289337158,27.395508289337158,26.196733713150024,51.35449171066284,52.553266286849976,0.02,0.2,0.00023999999999999998,0.03135675299854483
4,65536,25.398597717285156,25.398597717285156,23.96912932395935,53.351402282714844,54.78087067604065,0.02,0.2,0.00023999999999999998,0.0269430854190432
5,81920,23.3683443069458,23.3683443069458,21.67808175086975,55.3816556930542,57.07191824913025,0.02,0.2,0.00023999999999999998,0.023982933400839103
6,98304,21.96908950805664,21.96908950805664,20.057801008224487,56.78091049194336,58.69219899177551,0.02,0.2,0.00023999999999999998,0.01335918536351528
7,114688,20.11587381362915,20.11587381362915,18.117353916168213,58.63412618637085,60.63264608383179,0.02,0.2,0.00023999999999999998,0.015030586422653869
8,131072,18.451271057128906,18.451271057128906,16.410467624664307,60.298728942871094,62.33953237533569,0.02,0.2,0.00023999999999999998,0.012268061030772515
9,147456,17.00749158859253,17.00749158859253,14.943645000457764,61.74250841140747,63.806354999542236,0.02,0.2,0.00023999999999999998,0.010134700097842142
10,163840,15.724495649337769,15.724495649337769,13.637862205505371,63.02550435066223,65.11213779449463,0.02,0.2,0.00023999999999999998,0.010012901236768812
11,180224,14.452049732208252,14.452049732208252,12.30441689491272,64.29795026779175,66.44558310508728,0.02,0.2,0.00023999999999999998,0.009035187802510336
12,196608,13.519612550735474,13.519612550735474,11.378124952316284,65.23038744926453,67.37187504768372,0.02,0.2,0.00023999999999999998,0.008312706142896786
13,212992,12.494364976882935,12.494364976882935,10.35896897315979,66.25563502311707,68.39103102684021,0.02,0.2,0.00023999999999999998,0.006566786306211725
14,229376,11.335638761520386,11.335638761520386,9.202638864517212,67.41436123847961,69.54736113548279,0.02,0.24,0.0003,0.011536473064916208
