lr,steps,grad_eps,tol,num_samples,init_perturb,q,theoretical_effort,final_effort,e1,e2,gap,gap_e1,gap_e2,avg_gap,symmetry_gap,iterations,final_grad,quality,efficiency_score,converged,status
0.01,500,0.1,1e-05,16,0.5,25.0,87.5,87.39086509591982,87.14186310256787,87.63986708927177,0.3581368974321322,0.3581368974321322,0.1398670892717746,0.2490019933519534,0.4980039867039068,500.0,0.07011245457104964,Excellent,0.41793729610252284,False,success
0.01,500,0.3,1e-05,32,3.0,25.0,87.5,87.49270113370457,85.99868917359298,88.98671309381618,1.5013108264070212,1.5013108264070212,1.4867130938161779,1.4940119601115995,2.988023920223199,500.0,0.07118993999457221,Fair,1.8101132184293411,False,success
0.01,500,0.8,1e-05,128,2.0,25.0,87.5,87.47647570070225,86.48046772729451,88.47248367411,1.01953227270549,1.01953227270549,0.9724836741099949,0.9960079734077425,1.992015946815485,500.0,0.002418631288337858,Fair,1.2287338673870385,False,success
0.01,1000,0.1,0.0001,16,1.0,25.0,87.5,87.43473256752566,86.93871662597971,87.9307485090716,0.5612833740202916,0.5612833740202916,0.43074850907160567,0.49601594154594864,0.9920318830918973,1000.0,0.07034516156854576,Good,0.6704865623294813,False,success
0.01,1000,0.3,0.0001,64,1.0,25.0,87.5,87.47092026580188,86.97490432425587,87.96693620734789,0.5250956757441259,0.5250956757441259,0.4669362073478851,0.4960159415460055,0.992031883092011,1000.0,0.07037411195877308,Good,0.6342988640533269,False,success
0.01,1000,0.8,0.0001,256,0.5,25.0,87.5,87.49957617933975,87.24958617917976,87.74956617949977,0.250413820820242,0.250413820820242,0.2495661794997659,0.24999000016000394,0.4999800003200079,5.0,0.0018402926659411012,Excellent,0.30046182085224277,False,success
0.01,1500,0.1,0.001,16,3.0,25.0,87.5,87.4993,85.999312,88.999288,1.5006879999999967,1.5006879999999967,1.499288000000007,1.4999880000000019,2.9999760000000038,1.0,0.07119999999999571,Fair,1.8006922666666638,False,success
0.01,1500,0.3,0.001,64,2.0,25.0,87.5,87.50021145833333,86.50021945833333,88.50020345833333,1.0002034583333312,0.9997805416666665,1.0002034583333312,0.9999919999999989,1.9999839999999978,1.0,0.02194583333333444,Fair,1.2002085249999976,False,success
0.01,1500,0.8,0.001,256,2.0,25.0,87.5,87.500325390625,86.500333390625,88.500317390625,1.0003173906249998,0.999666609374998,1.0003173906249998,0.9999919999999989,1.9999839999999978,1.0,0.03333906250000032,Fair,1.2003224572916662,False,success
0.01,2000,0.2,1e-05,32,1.0,25.0,87.5,87.41882891583987,86.92676528730453,87.91089254437519,0.5732347126954664,0.5732347126954664,0.4108925443751872,0.4920636285353268,0.9841272570706536,2000.0,0.07032927666971389,Good,0.6816474384025318,False,success
0.01,2000,0.5,1e-05,128,0.5,25.0,87.5,87.51027318794323,87.26424137367583,87.75630500221061,0.2563050022106097,0.23575862632417,0.2563050022106097,0.24603181426738985,0.4920636285347797,2000.0,0.04286163689486333,Excellent,0.31551136506408767,False,success
0.01,2000,1.0,1e-05,256,3.0,25.0,87.5,87.42886875765181,85.95267787204581,88.90505964325781,1.5473221279541889,1.5473221279541889,1.4050596432578146,1.4761908856060018,2.9523817712120035,2000.0,0.02327267139597744,Fair,1.8525603050753892,False,success
0.01,3000,0.2,0.0001,32,3.0,25.0,87.5,87.30766543369751,85.84323700964676,88.77209385774827,1.6567629903532435,1.6567629903532435,1.272093857748274,1.4644284240507588,2.9288568481015176,3000.0,0.071018243232146,Fair,1.9596486751633952,False,success
0.01,3000,0.5,0.0001,128,2.0,25.0,87.5,87.41631890396889,86.44003328793495,88.39260452000283,1.059966712065048,1.059966712065048,0.8926045200028341,0.976285616033941,1.952571232067882,3000.0,0.01602671182969795,Fair,1.2652238352718361,False,success
0.01,3000,1.0,0.001,16,1.0,25.0,87.5,87.50039375,87.00039775,88.00038975,0.5003897499999965,0.49960224999999525,0.5003897499999965,0.4999959999999959,0.9999919999999918,1.0,0.039774999999999894,Good,0.6003922833333291,False,success
0.03,500,0.2,0.001,64,0.5,25.0,87.5,87.44282701890732,87.19580912626306,87.68984491155159,0.30419087373694254,0.30419087373694254,0.18984491155158878,0.24701789264426566,0.4940357852885313,500.0,0.07015355961467407,Excellent,0.3635944522657957,False,success
0.03,500,0.5,0.001,256,0.5,25.0,87.5,87.49913046875,87.24913646875,87.74912446875,0.2508635312500047,0.2508635312500047,0.24912446874999716,0.24999400000000094,0.4999880000000019,1.0,0.029184374999999818,Excellent,0.3008823312500049,False,success
0.03,1000,0.1,1e-05,16,3.0,25.0,87.5,87.59588411998958,86.13145597711475,89.0603122628644,1.5603122628644002,1.3685440228852457,1.5603122628644002,1.464428142874823,2.928856285749646,1000.0,0.07124995980932303,Fair,1.8631978914393648,False,success
0.03,1000,0.3,1e-05,64,2.0,25.0,87.5,87.38697138761755,86.41068595903442,88.36325681620067,1.0893140409655757,1.0893140409655757,0.8632568162006748,0.9762854285831253,1.9525708571662506,1000.0,0.20431385476528785,Fair,1.2945711266822009,False,success
0.03,1000,0.8,1e-05,256,1.0,25.0,87.5,87.47068269276181,86.98253997847016,87.95882540705345,0.5174600215298426,0.5174600215298426,0.4588254070534532,0.4881427142916479,0.9762854285832958,1000.0,0.002007733511246862,Good,0.6250885643881722,False,success
