lr,steps,grad_eps,tol,num_samples,init_perturb,status,mean_gap,worst_gap,worst_q,mean_symmetry_gap,mean_iterations,robustness_score,per_q_details,q_values,quality_dist
0.01,500,0.1,1e-05,16,0.5,success,0.301558273026527,0.3581368974321322,25.0,0.49800398670384993,500.0,0.5687164326157806,"{'q_25.0': {'e1': 87.14186310256787, 'e2': 87.63986708927177, 'theoretical': 87.5, 'max_gap': 0.3581368974321322, 'gap_e1': 0.3581368974321322, 'gap_e2': 0.1398670892717746, 'symmetry_gap': 0.4980039867039068}, 'q_40.0': {'e1': 54.449361596206494, 'e2': 54.94736558291038, 'theoretical': 54.6875, 'max_gap': 0.2598655829103791, 'gap_e1': 0.23813840379350637, 'gap_e2': 0.2598655829103791, 'symmetry_gap': 0.49800398670388546}, 'q_55.0': {'e1': 39.56139562476058, 'e2': 40.059399611464336, 'theoretical': 39.772727272727266, 'max_gap': 0.28667233873706977, 'gap_e1': 0.2113316479666878, 'gap_e2': 0.28667233873706977, 'symmetry_gap': 0.49800398670375756}}","25.0,40.0,55.0",{'Excellent': 3}
0.01,500,0.1,1e-05,16,1.0,success,0.5654976581437575,0.5912682242881999,55.0,0.9960079734077733,500.0,0.983617850700856,"{'q_25.0': {'e1': 86.92551567688422, 'e2': 87.92152365029202, 'theoretical': 87.5, 'max_gap': 0.574484323115783, 'gap_e1': 0.574484323115783, 'gap_e2': 0.4215236502920163, 'symmetry_gap': 0.9960079734077993}, 'q_40.0': {'e1': 54.222232453619526, 'e2': 55.21824042702729, 'theoretical': 54.6875, 'max_gap': 0.5307404270272897, 'gap_e1': 0.4652675463804741, 'gap_e2': 0.5307404270272897, 'symmetry_gap': 0.9960079734077638}, 'q_55.0': {'e1': 39.181459048439066, 'e2': 40.17746702184682, 'theoretical': 39.772727272727266, 'max_gap': 0.5912682242881999, 'gap_e1': 0.5912682242881999, 'gap_e2': 0.4047397491195568, 'symmetry_gap': 0.9960079734077567}}","25.0,40.0,55.0",{'Good': 3}
0.01,500,0.1,1e-05,16,2.0,success,1.0562501333612317,1.1160266610711318,25.0,1.9920159468156033,500.0,1.853353322433308,"{'q_25.0': {'e1': 86.38397333892887, 'e2': 88.37598928574447, 'theoretical': 87.5, 'max_gap': 1.1160266610711318, 'gap_e1': 1.1160266610711318, 'gap_e2': 0.8759892857444669, 'symmetry_gap': 1.9920159468155987}, 'q_40.0': {'e1': 53.68043300911823, 'e2': 55.67244895593381, 'theoretical': 54.6875, 'max_gap': 1.0070669908817678, 'gap_e1': 1.0070669908817678, 'gap_e2': 0.9849489559338096, 'symmetry_gap': 1.9920159468155774}, 'q_55.0': {'e1': 38.72707052459647, 'e2': 40.719086471412105, 'theoretical': 39.772727272727266, 'max_gap': 1.0456567481307957, 'gap_e1': 1.0456567481307957, 'gap_e2': 0.9463591986848385, 'symmetry_gap': 1.9920159468156342}}","25.0,40.0,55.0",{'Fair': 3}
0.01,500,0.1,1e-05,16,3.0,success,1.557515796430086,1.6081157995781439,55.0,2.988023920223322,500.0,2.6956760898155188,"{'q_25.0': {'e1': 86.07148097333868, 'e2': 89.05950489356198, 'theoretical': 87.5, 'max_gap': 1.5595048935619786, 'gap_e1': 1.42851902666132, 'gap_e2': 1.5595048935619786, 'symmetry_gap': 2.9880239202232985}, 'q_40.0': {'e1': 53.182573303849864, 'e2': 56.170597224073184, 'theoretical': 54.6875, 'max_gap': 1.504926696150136, 'gap_e1': 1.504926696150136, 'gap_e2': 1.483097224073184, 'symmetry_gap': 2.98802392022332}, 'q_55.0': {'e1': 38.39281915208206, 'e2': 41.38084307230541, 'theoretical': 39.772727272727266, 'max_gap': 1.6081157995781439, 'gap_e1': 1.3799081206452044, 'gap_e2': 1.6081157995781439, 'symmetry_gap': 2.9880239202233483}}","25.0,40.0,55.0",{'Fair': 3}
0.01,500,0.1,1e-05,32,0.5,success,0.2710365088190372,0.2822643769424076,55.0,0.49800398670386414,500.0,0.4775830300223126,"{'q_25.0': {'e1': 87.26740811423292, 'e2': 87.76541210093673, 'theoretical': 87.5, 'max_gap': 0.26541210093672873, 'gap_e1': 0.23259188576707857, 'gap_e2': 0.26541210093672873, 'symmetry_gap': 0.4980039867038073}, 'q_40.0': {'e1': 54.422066951422025, 'e2': 54.92007093812589, 'theoretical': 54.6875, 'max_gap': 0.26543304857797523, 'gap_e1': 0.26543304857797523, 'gap_e2': 0.23257093812588892, 'symmetry_gap': 0.49800398670386414}, 'q_55.0': {'e1': 39.49046289578486, 'e2': 39.98846688248878, 'theoretical': 39.772727272727266, 'max_gap': 0.2822643769424076, 'gap_e1': 0.2822643769424076, 'gap_e2': 0.2157396097615134, 'symmetry_gap': 0.498003986703921}}","25.0,40.0,55.0",{'Excellent': 3}
0.01,500,0.1,1e-05,32,1.0,success,0.52178399468801,0.5471374558622202,40.0,0.9960079734077993,500.0,0.9176302505470051,"{'q_25.0': {'e1': 86.98570625679751, 'e2': 87.98171423020533, 'theoretical': 87.5, 'max_gap': 0.5142937432024866, 'gap_e1': 0.5142937432024866, 'gap_e2': 0.481714230205327, 'symmetry_gap': 0.9960079734078136}, 'q_40.0': {'e1': 54.23862948245442, 'e2': 55.23463745586222, 'theoretical': 54.6875, 'max_gap': 0.5471374558622202, 'gap_e1': 0.44887051754557916, 'gap_e2': 0.5471374558622202, 'symmetry_gap': 0.9960079734077993}, 'q_55.0': {'e1': 39.26880648772794, 'e2': 40.26481446113573, 'theoretical': 39.772727272727266, 'max_gap': 0.5039207849993232, 'gap_e1': 0.5039207849993232, 'gap_e2': 0.4920871884084619, 'symmetry_gap': 0.9960079734077851}}","25.0,40.0,55.0",{'Good': 3}
0.01,500,0.1,1e-05,32,2.0,success,1.023478910736209,1.0238278988005973,55.0,1.992015946815523,500.0,1.7447689488502542,"{'q_25.0': {'e1': 86.47673273465749, 'e2': 88.46874868147296, 'theoretical': 87.5, 'max_gap': 1.0232672653425112, 'gap_e1': 1.0232672653425112, 'gap_e2': 0.9687486814729596, 'symmetry_gap': 1.9920159468154708}, 'q_40.0': {'e1': 53.71882562124995, 'e2': 55.71084156806552, 'theoretical': 54.6875, 'max_gap': 1.0233415680655185, 'gap_e1': 0.9686743787500518, 'gap_e2': 1.0233415680655185, 'symmetry_gap': 1.9920159468155703}, 'q_55.0': {'e1': 38.74889937392667, 'e2': 40.7409153207422, 'theoretical': 39.772727272727266, 'max_gap': 1.0238278988005973, 'gap_e1': 1.0238278988005973, 'gap_e2': 0.9681880480149303, 'symmetry_gap': 1.9920159468155276}}","25.0,40.0,55.0",{'Fair': 3}
0.01,500,0.1,1e-05,32,3.0,success,1.5321086976406117,1.5650034350756101,25.0,2.9880239202233483,500.0,2.6398601759182507,"{'q_25.0': {'e1': 85.93499656492439, 'e2': 88.92302048514777, 'theoretical': 87.5, 'max_gap': 1.5650034350756101, 'gap_e1': 1.5650034350756101, 'gap_e2': 1.4230204851477737, 'symmetry_gap': 2.988023920223384}, 'q_40.0': {'e1': 53.19343199804323, 'e2': 56.18145591826659, 'theoretical': 54.6875, 'max_gap': 1.4940680019567694, 'gap_e1': 1.4940680019567694, 'gap_e2': 1.4939559182665931, 'symmetry_gap': 2.9880239202233625}, 'q_55.0': {'e1': 38.32195800839342, 'e2': 41.30998192861672, 'theoretical': 39.772727272727266, 'max_gap': 1.5372546558894555, 'gap_e1': 1.450769264333843, 'gap_e2': 1.5372546558894555, 'symmetry_gap': 2.9880239202232985}}","25.0,40.0,55.0",{'Fair': 3}
0.01,500,0.1,1e-05,64,0.5,success,0.26793675606128176,0.28448722871246446,25.0,0.49800398670384755,500.0,0.4782560054134901,"{'q_25.0': {'e1': 87.21551277128754, 'e2': 87.71351675799144, 'theoretical': 87.5, 'max_gap': 0.28448722871246446, 'gap_e1': 0.28448722871246446, 'gap_e2': 0.21351675799144232, 'symmetry_gap': 0.4980039867039068}, 'q_40.0': {'e1': 54.44394725722022, 'e2': 54.941951243924095, 'theoretical': 54.6875, 'max_gap': 0.2544512439240947, 'gap_e1': 0.24355274277977657, 'gap_e2': 0.2544512439240947, 'symmetry_gap': 0.49800398670387125}, 'q_55.0': {'e1': 39.53959508157079, 'e2': 40.03759906827455, 'theoretical': 39.772727272727266, 'max_gap': 0.2648717955472861, 'gap_e1': 0.23313219115647854, 'gap_e2': 0.2648717955472861, 'symmetry_gap': 0.49800398670376467}}","25.0,40.0,55.0",{'Excellent': 3}
0.01,500,0.1,1e-05,64,1.0,success,0.5200027953766408,0.5312294222921707,55.0,0.9960079734077567,500.0,0.9008316173212668,"{'q_25.0': {'e1': 86.98014402546008, 'e2': 87.97615199886773, 'theoretical': 87.5, 'max_gap': 0.5198559745399223, 'gap_e1': 0.5198559745399223, 'gap_e2': 0.47615199886773496, 'symmetry_gap': 0.9960079734076572}, 'q_40.0': {'e1': 54.17857701070217, 'e2': 55.17458498410997, 'theoretical': 54.6875, 'max_gap': 0.5089229892978295, 'gap_e1': 0.5089229892978295, 'gap_e2': 0.4870849841099698, 'symmetry_gap': 0.9960079734077993}, 'q_55.0': {'e1': 39.241497850435096, 'e2': 40.23750582384291, 'theoretical': 39.772727272727266, 'max_gap': 0.5312294222921707, 'gap_e1': 0.5312294222921707, 'gap_e2': 0.4647785511156428, 'symmetry_gap': 0.9960079734078136}}","25.0,40.0,55.0",{'Good': 3}
0.01,500,0.1,1e-05,64,2.0,success,1.019836508894386,1.0341885667572086,25.0,1.992015946815587,500.0,1.7533084158859602,"{'q_25.0': {'e1': 86.46581143324279, 'e2': 88.45782738005842, 'theoretical': 87.5, 'max_gap': 1.0341885667572086, 'gap_e1': 1.0341885667572086, 'gap_e2': 0.9578273800584185, 'symmetry_gap': 1.992015946815627}, 'q_40.0': {'e1': 53.71608846638116, 'e2': 55.70810441319676, 'theoretical': 54.6875, 'max_gap': 1.0206044131967573, 'gap_e1': 0.9714115336188414, 'gap_e2': 1.0206044131967573, 'symmetry_gap': 1.9920159468155987}, 'q_55.0': {'e1': 38.768010725998074, 'e2': 40.76002667281361, 'theoretical': 39.772727272727266, 'max_gap': 1.0047165467291919, 'gap_e1': 1.0047165467291919, 'gap_e2': 0.9872994000863429, 'symmetry_gap': 1.9920159468155347}}","25.0,40.0,55.0",{'Fair': 3}
0.01,500,0.1,1e-05,64,3.0,success,1.5214787042961788,1.5458904209773294,25.0,2.9880239202234216,500.0,2.6154321651477606,"{'q_25.0': {'e1': 85.95410957902267, 'e2': 88.94213349924611, 'theoretical': 87.5, 'max_gap': 1.5458904209773294, 'gap_e1': 1.5458904209773294, 'gap_e2': 1.4421334992461112, 'symmetry_gap': 2.9880239202234407}, 'q_40.0': {'e1': 53.212587888413104, 'e2': 56.20061180863652, 'theoretical': 54.6875, 'max_gap': 1.5131118086365234, 'gap_e1': 1.474912111586896, 'gap_e2': 1.5131118086365234, 'symmetry_gap': 2.9880239202234193}, 'q_55.0': {'e1': 38.26729338945258, 'e2': 41.25531730967599, 'theoretical': 39.772727272727266, 'max_gap': 1.5054338832746836, 'gap_e1': 1.5054338832746836, 'gap_e2': 1.4825900369487215, 'symmetry_gap': 2.988023920223405}}","25.0,40.0,55.0",{'Fair': 3}
0.01,500,0.1,1e-05,128,0.5,success,0.2732925105466843,0.2790130093861407,40.0,0.4980039867039115,500.0,0.47545966332987405,"{'q_25.0': {'e1': 87.2715055886885, 'e2': 87.76950957539235, 'theoretical': 87.5, 'max_gap': 0.2695095753923482, 'gap_e1': 0.22849441131150172, 'gap_e2': 0.2695095753923482, 'symmetry_gap': 0.49800398670384993}, 'q_40.0': {'e1': 54.40848699061386, 'e2': 54.9064909773179, 'theoretical': 54.6875, 'max_gap': 0.2790130093861407, 'gap_e1': 0.2790130093861407, 'gap_e2': 0.21899097731790107, 'symmetry_gap': 0.4980039867040418}, 'q_55.0': {'e1': 39.5013723258657, 'e2': 39.999376312569545, 'theoretical': 39.772727272727266, 'max_gap': 0.2713549468615639, 'gap_e1': 0.2713549468615639, 'gap_e2': 0.2266490398422789, 'symmetry_gap': 0.4980039867038428}}","25.0,40.0,55.0",{'Excellent': 3}
0.01,500,0.1,1e-05,128,1.0,success,0.5069380964279588,0.5116699809744247,40.0,0.9960079734077993,500.0,0.8747398265291841,"{'q_25.0': {'e1': 87.00744480611964, 'e2': 88.00345277952756, 'theoretical': 87.5, 'max_gap': 0.5034527795275636, 'gap_e1': 0.4925551938803636, 'gap_e2': 0.5034527795275636, 'symmetry_gap': 0.9960079734079272}, 'q_40.0': {'e1': 54.203162007566725, 'e2': 55.199169980974425, 'theoretical': 54.6875, 'max_gap': 0.5116699809744247, 'gap_e1': 0.48433799243327513, 'gap_e2': 0.5116699809744247, 'symmetry_gap': 0.9960079734076999}, 'q_55.0': {'e1': 39.28241082810138, 'e2': 40.278418801509154, 'theoretical': 39.772727272727266, 'max_gap': 0.5056915287818882, 'gap_e1': 0.49031644462588275, 'gap_e2': 0.5056915287818882, 'symmetry_gap': 0.9960079734077709}}","25.0,40.0,55.0",{'Good': 3}
0.01,500,0.1,1e-05,128,2.0,success,1.011300526568661,1.0268887301451386,55.0,1.9920159468155891,500.0,1.741740588111028,"{'q_25.0': {'e1': 86.49855713378903, 'e2': 88.49057308060473, 'theoretical': 87.5, 'max_gap': 1.0014428662109651, 'gap_e1': 1.0014428662109651, 'gap_e2': 0.990573080604733, 'symmetry_gap': 1.9920159468156982}, 'q_40.0': {'e1': 53.70105403653433, 'e2': 55.69306998334988, 'theoretical': 54.6875, 'max_gap': 1.0055699833498792, 'gap_e1': 0.9864459634656697, 'gap_e2': 1.0055699833498792, 'symmetry_gap': 1.992015946815549}, 'q_55.0': {'e1': 38.807600056056884, 'e2': 40.799616002872405, 'theoretical': 39.772727272727266, 'max_gap': 1.0268887301451386, 'gap_e1': 0.9651272166703819, 'gap_e2': 1.0268887301451386, 'symmetry_gap': 1.9920159468155205}}","25.0,40.0,55.0",{'Fair': 3}
0.01,500,0.1,1e-05,128,3.0,success,1.514654553913547,1.5267852721192554,25.0,2.988023920223261,500.0,2.5929149410983547,"{'q_25.0': {'e1': 85.97321472788074, 'e2': 88.96123864810394, 'theoretical': 87.5, 'max_gap': 1.5267852721192554, 'gap_e1': 1.5267852721192554, 'gap_e2': 1.4612386481039437, 'symmetry_gap': 2.988023920223199}, 'q_40.0': {'e1': 53.19758818774053, 'e2': 56.18561210796382, 'theoretical': 54.6875, 'max_gap': 1.49811210796382, 'gap_e1': 1.4899118122594714, 'gap_e2': 1.49811210796382, 'symmetry_gap': 2.9880239202232914}, 'q_55.0': {'e1': 38.2536609910697, 'e2': 41.24168491129299, 'theoretical': 39.772727272727266, 'max_gap': 1.5190662816575653, 'gap_e1': 1.5190662816575653, 'gap_e2': 1.4689576385657261, 'symmetry_gap': 2.9880239202232914}}","25.0,40.0,55.0",{'Fair': 3}
