k1,k2,q,w_h,w_l,EU_1,EU_2,c_e_1,c_e_2,e_1,e_2,Model_training,Parameter,"Effort_[0,100]","Effort_[0,200]",theoretical_effort1,theoretical_effort2,gap1,gap2,avg_gap,quality,episodes,training_time
0.0004,0.00055,25.0,8.0,5.5,0,0,0.5237188365650969,0.20146058927222357,35.97319836680385,19.348062423322993,Gradient,effort_0_100,35.97319836680385,,36.18421052631579,19.13875598086124,0.21101215951193808,0.20930644246175234,0.2101593009868452,Excellent,N/A,0.03115105628967285
0.0004,0.00055,25.0,8.0,5.5,0,0,0.5237188365650969,0.20146058927222357,36.18421052631579,19.13875598086124,PPO,effort_0_100,36.18421052631579,,36.18421052631579,19.13875598086124,0.0,0.0,inf,Poor,25000,14.514190912246704
0.0004,0.00055,25.0,8.0,5.5,0,0,0.5237188365650969,0.20146058927222357,35.97319836680385,19.348062423322993,Gradient,effort_0_200,,35.97319836680385,36.18421052631579,19.13875598086124,0.21101215951193808,0.20930644246175234,0.2101593009868452,Excellent,N/A,0.03217196464538574
0.0004,0.00055,25.0,8.0,5.5,0,0,0.5237188365650969,0.20146058927222357,36.18421052631579,19.13875598086124,PPO,effort_0_200,,36.18421052631579,36.18421052631579,19.13875598086124,0.0,0.0,inf,Poor,25000,14.643098831176758
0.0004,0.00055,40.0,8.0,5.5,0,0,0.20457767053324097,0.07869554268446236,22.48324897925146,12.092539014576813,Gradient,effort_0_100,22.48324897925146,,22.615131578947366,11.961722488038276,0.13188259969590632,0.1308165265385366,0.13134956311722146,Excellent,N/A,0.032510995864868164
0.0004,0.00055,40.0,8.0,5.5,0,0,0.20457767053324097,0.07869554268446236,22.615131578947366,11.961722488038276,PPO,effort_0_100,22.615131578947366,,22.615131578947366,11.961722488038276,0.0,0.0,inf,Poor,25000,14.744006872177124
0.0004,0.00055,40.0,8.0,5.5,0,0,0.20457767053324097,0.07869554268446236,22.48324897925146,12.092539014576813,Gradient,effort_0_200,,22.48324897925146,22.615131578947366,11.961722488038276,0.13188259969590632,0.1308165265385366,0.13134956311722146,Excellent,N/A,0.032855987548828125
0.0004,0.00055,40.0,8.0,5.5,0,0,0.20457767053324097,0.07869554268446236,22.615131578947366,11.961722488038276,PPO,effort_0_200,,22.615131578947366,22.615131578947366,11.961722488038276,0.0,0.0,inf,Poor,25000,14.6233389377594
0.0004,0.00055,55.0,8.0,5.5,0,0,0.10820637119113571,0.041624088692608176,16.351453803092323,8.79457382878304,Gradient,effort_0_100,16.351453803092323,,16.44736842105263,8.69943453675511,0.09591461796030742,0.09513929202793037,0.0955269549941189,Excellent,N/A,0.03456306457519531
0.0004,0.00055,55.0,8.0,5.5,0,0,0.10820637119113571,0.041624088692608176,16.44736842105263,8.69943453675511,PPO,effort_0_100,16.44736842105263,,16.44736842105263,8.69943453675511,0.0,0.0,inf,Poor,25000,15.211525917053223
0.0004,0.00055,55.0,8.0,5.5,0,0,0.10820637119113571,0.041624088692608176,16.351453803092323,8.79457382878304,Gradient,effort_0_200,,16.351453803092323,16.44736842105263,8.69943453675511,0.09591461796030742,0.09513929202793037,0.0955269549941189,Excellent,N/A,0.034178733825683594
0.0004,0.00055,55.0,8.0,5.5,0,0,0.10820637119113571,0.041624088692608176,16.44736842105263,8.69943453675511,PPO,effort_0_200,,16.44736842105263,16.44736842105263,8.69943453675511,0.0,0.0,inf,Poor,25000,14.736216068267822
