stage1_weight,stage2_weight,k1,k2,information_revelation,theoretical_stage1_effort,theoretical_stage2_effort,Model_training,final_stage1_effort,final_stage2_effort,final_weighted_effort,Convergence_Quality,episodes,Gap_from_theoretical
1.0,0.0,0.0004,0.0004,none,4.723552432959648,0.0,Gradient,5.0,0.0,5.0,Good,gradient_steps,0.281
1.0,0.0,0.0004,0.0004,none,4.723552432959648,0.0,PPO,34.05,0.0,34.05,Poor,15000_episodes,29.327
1.0,0.0,0.0004,0.0004,none,4.723552432959648,0.0,Gradient,4.28,0.0,4.28,Good,gradient_steps,0.448
1.0,0.0,0.0004,0.0004,none,4.723552432959648,0.0,PPO,7.65,0.0,7.65,Poor,15000_episodes,2.926
1.0,0.0,0.0004,0.0004,none,2.9522202705997804,0.0,Gradient,2.71,0.0,2.71,Excellent,gradient_steps,0.24
1.0,0.0,0.0004,0.0004,none,2.9522202705997804,0.0,PPO,11.63,0.0,11.63,Poor,15000_episodes,8.679
1.0,0.0,0.0004,0.0004,none,2.9522202705997804,0.0,Gradient,3.3,0.0,3.3,Excellent,gradient_steps,0.348
1.0,0.0,0.0004,0.0004,none,2.9522202705997804,0.0,PPO,2.0,0.0,2.0,Fair,15000_episodes,0.952
1.0,0.0,0.0004,0.0004,none,2.1470692877089306,0.0,Gradient,1.96,0.0,1.96,Excellent,gradient_steps,0.183
1.0,0.0,0.0004,0.0004,none,2.1470692877089306,0.0,PPO,24.77,0.0,24.77,Poor,15000_episodes,22.623
1.0,0.0,0.0004,0.0004,none,2.1470692877089306,0.0,Gradient,2.1,0.0,2.1,Excellent,gradient_steps,0.046
1.0,0.0,0.0004,0.0004,none,2.1470692877089306,0.0,PPO,41.68,0.0,41.68,Poor,15000_episodes,39.535
1.0,0.0,0.0004,0.0004,none,4.723552432959648,0.0,Gradient,4.62,0.0,4.62,Good,gradient_steps,0.105
1.0,0.0,0.0004,0.0004,none,4.723552432959648,0.0,PPO,20.68,0.0,20.68,Poor,15000_episodes,15.958
1.0,0.0,0.0004,0.0004,none,4.723552432959648,0.0,Gradient,4.83,0.0,4.83,Excellent,gradient_steps,0.105
1.0,0.0,0.0004,0.0004,none,4.723552432959648,0.0,PPO,72.71,0.0,72.71,Poor,15000_episodes,67.986
1.0,0.0,0.0004,0.0004,none,2.9522202705997804,0.0,Gradient,2.97,0.0,2.97,Excellent,gradient_steps,0.023
1.0,0.0,0.0004,0.0004,none,2.9522202705997804,0.0,PPO,57.34,0.0,57.34,Poor,15000_episodes,54.391
1.0,0.0,0.0004,0.0004,none,2.9522202705997804,0.0,Gradient,3.35,0.0,3.35,Excellent,gradient_steps,0.397
1.0,0.0,0.0004,0.0004,none,2.9522202705997804,0.0,PPO,2.93,0.0,2.93,Excellent,15000_episodes,0.025
1.0,0.0,0.0004,0.0004,none,2.1470692877089306,0.0,Gradient,2.44,0.0,2.44,Excellent,gradient_steps,0.296
1.0,0.0,0.0004,0.0004,none,2.1470692877089306,0.0,PPO,1.0,0.0,1.0,Fair,15000_episodes,1.147
1.0,0.0,0.0004,0.0004,none,2.1470692877089306,0.0,Gradient,2.1,0.0,2.1,Excellent,gradient_steps,0.047
1.0,0.0,0.0004,0.0004,none,2.1470692877089306,0.0,PPO,158.54,0.0,158.54,Poor,15000_episodes,156.397
