q,effort_range_min,effort_range_max,algorithm,theoretical_stage1_effort,theoretical_stage2_effort,theoretical_utility_player1,theoretical_utility_player2,final_stage1_effort,final_stage2_effort,actual_utility_player1,actual_utility_player2,gap_stage1_effort,gap_stage2_effort,max_gap,final_weighted_effort,convergence_quality,episodes,training_time,meets_standard
25.0,0,100,Enhanced_Gradient,5.5339859052946645,3.913118960624632,6.346089909656305,3.135535090343695,6.600661988155808,4.288542746775838,6.461886723067376,3.0133291419035007,1.066676082861144,0.375423786151206,1.066676082861144,0.0,Fair,0,0.15460419654846191,False
25.0,0,100,ExcellentPPO,5.5339859052946645,3.913118960624632,6.346089909656305,3.135535090343695,6.202592340381079,4.900776218318214,0.0,0.0,0.6686064350864145,0.9876572576935816,0.9876572576935816,0.0,Good,25000,2.0016512870788574,True
25.0,0,200,Enhanced_Gradient,5.5339859052946645,3.913118960624632,6.346089909656305,3.135535090343695,5.648783201481839,4.418297056538976,6.316804702624183,3.1626232571609507,0.1147972961871746,0.5051780959143439,0.5051780959143439,0.0,Good,0,0.15814685821533203,True
25.0,0,200,ExcellentPPO,5.5339859052946645,3.913118960624632,6.346089909656305,3.135535090343695,5.758767230442629,4.280642439509236,0.0,0.0,0.22478132514796467,0.36752347888460424,0.36752347888460424,0.0,Excellent,25000,1.6309280395507812,True
40.0,0,100,Enhanced_Gradient,3.458741190809165,2.445699350390395,5.586720209615636,3.906102056009365,3.6816271301644807,2.581845395242313,5.634229118429057,3.8576827599827443,0.22288593935531553,0.13614604485191784,0.22288593935531553,0.0,Excellent,0,0.1602039337158203,True
40.0,0,100,ExcellentPPO,3.458741190809165,2.445699350390395,5.586720209615636,3.906102056009365,5.146255195276857,3.558121057119955,0.0,0.0,1.6875140044676917,1.1124217067295596,1.6875140044676917,0.0,Fair,25000,1.6317617893218994,False
40.0,0,200,Enhanced_Gradient,3.458741190809165,2.445699350390395,5.586720209615636,3.906102056009365,3.165779917093504,2.90864445675976,5.41466163967117,4.077945410305106,0.2929612737156613,0.4629451063693648,0.4629451063693648,0.0,Excellent,0,0.15934514999389648,True
40.0,0,200,ExcellentPPO,3.458741190809165,2.445699350390395,5.586720209615636,3.906102056009365,4.2927997538113525,4.1460851189262,0.0,0.0,0.8340585630021873,1.7003857685358046,1.7003857685358046,0.0,Fair,25000,1.6372630596160889,False
55.0,0,100,Enhanced_Gradient,2.5154481387703016,1.77869043664756,5.226622675193329,4.269580837203366,2.963203320356389,2.2583282505385402,5.281397145762655,4.213050606075364,0.4477551815860874,0.47963781389098026,0.47963781389098026,0.0,Excellent,0,0.1597881317138672,True
55.0,0,100,ExcellentPPO,2.5154481387703016,1.77869043664756,5.226622675193329,4.269580837203366,4.624701592123908,4.183445697842847,0.0,0.0,2.1092534533536065,2.4047552611952874,2.4047552611952874,0.0,Poor,25000,1.6744236946105957,False
55.0,0,200,Enhanced_Gradient,2.5154481387703016,1.77869043664756,5.226622675193329,4.269580837203366,2.0900853589135626,2.114885374427269,5.061398309900701,4.435065211317495,0.425362779856739,0.3361949377797089,0.425362779856739,0.0,Excellent,0,0.1601419448852539,True
55.0,0,200,ExcellentPPO,2.5154481387703016,1.77869043664756,5.226622675193329,4.269580837203366,3.6932173844618994,4.379860301799092,0.0,0.0,1.1777692456915978,2.6011698651515323,2.6011698651515323,0.0,Poor,25000,1.6282641887664795,False
