method,q,l1,l2,k1,k2,w_h,w_l,theoretical_e1,theoretical_e2,final_e1,final_e2,episodes,max_gap,quality,updates,effort_range_low,effort_range_high,gap_trace_path,gap_plot_path,steps_per_update,ppo_epochs,minibatch_size
ppo,55.0,10.0,5.0,0.0004,0.0004,6.5,3.0,37.964876033057855,37.964876033057855,37.43986189365387,37.45242059230805,4915200,0.5250141394039858,Good,,,,,,,,
ppo,40.0,10.0,5.0,0.0004,0.0004,6.5,3.0,51.26953125,51.26953125,50.98354816436768,51.00592374801636,4915200,0.2859830856323242,Excellent,,,,,,,,
ppo,25.0,10.0,5.0,0.0004,0.0004,6.5,3.0,78.75,78.75,76.90286040306091,77.04140543937683,4915200,1.847139596939087,Fair,,,,,,,,
gradient,25.0,10.0,5.0,0.0004,0.0004,6.5,3.0,61.25,61.25,61.411458940078845,63.23946316261589,95100,1.9894631626158912,Fair,95100.0,0.0,100.0,results/traces/different_ability/gradient_q25_k0p0004_wh6p5_wl3p0_l10-5_range0-100_gap.csv,results/plots/different_ability/gradient_q25_k0p0004_wh6p5_wl3p0_l10-5_range0-100_gap.png,,,
gradient,25.0,10.0,5.0,0.0004,0.0004,6.5,3.0,78.75,78.75,78.74765876592035,78.74764413068864,99999,0.0023558693113585,Excellent,99999.0,0.0,100.0,results/traces/different_ability/gradient_q25_k0p0004_wh6p5_wl3p0_l10-5_range0-100_gap.csv,results/plots/different_ability/gradient_q25_k0p0004_wh6p5_wl3p0_l10-5_range0-100_gap.png,,,
gradient,40.0,10.0,5.0,0.0004,0.0004,6.5,3.0,51.26953125,51.26953125,51.26917852582899,51.269883429041926,93500,0.0003527241710088,Excellent,93500.0,0.0,100.0,results/traces/different_ability/gradient_q40_k0p0004_wh6p5_wl3p0_l10-5_range0-100_gap.csv,results/plots/different_ability/gradient_q40_k0p0004_wh6p5_wl3p0_l10-5_range0-100_gap.png,,,
ppo,25.0,10.0,5.0,0.0004,0.0004,6.5,3.0,78.75,78.75,45.88866233825684,46.82072997093201,3276800,32.861337661743164,Poor,200.0,0.0,100.0,,,16384.0,20.0,1024.0
ppo,25.0,10.0,5.0,0.0004,0.0004,6.5,3.0,78.75,78.75,45.12581527233124,46.83373272418976,3276800,33.62418472766876,Poor,200.0,0.0,100.0,,,16384.0,20.0,1024.0
ppo,25.0,10.0,5.0,0.0004,0.0004,6.5,3.0,78.75,78.75,42.6600456237793,45.35677134990692,3276800,36.0899543762207,Poor,200.0,0.0,100.0,,,16384.0,20.0,1024.0
ppo,25.0,10.0,5.0,0.0004,0.0004,6.5,3.0,78.75,78.75,44.26365494728088,47.08667993545532,3276800,34.48634505271912,Poor,200.0,0.0,100.0,,,16384.0,20.0,1024.0
