stage1_weight,stage2_weight,k1,k2,information_revelation,theoretical_stage1_effort,theoretical_stage2_effort,Model_training,final_stage1_effort,final_stage2_effort,final_weighted_effort,Convergence_Quality,episodes,Gap_from_theoretical
1.0,0.0,0.0004,0.0004,none,87.5,0.0,Gradient,87.49,0.0,87.49,Excellent,100000_steps,0.01
1.0,0.0,0.0004,0.0004,none,87.5,0.0,Enhanced_PPO,87.52,0.0,87.52,Excellent,1501_episodes,0.02
1.0,0.0,0.0004,0.0004,none,87.5,0.0,Gradient,87.5,0.0,87.5,Excellent,100000_steps,0.0
1.0,0.0,0.0004,0.0004,none,87.5,0.0,Enhanced_PPO,87.56,0.0,87.56,Excellent,1501_episodes,0.06
1.0,0.0,0.0004,0.0004,none,54.69,0.0,Gradient,54.69,0.0,54.69,Excellent,100000_steps,0.0
1.0,0.0,0.0004,0.0004,none,54.69,0.0,Enhanced_PPO,54.31,0.0,54.31,Excellent,1501_episodes,0.38
1.0,0.0,0.0004,0.0004,none,54.69,0.0,Gradient,54.7,0.0,54.7,Excellent,100000_steps,0.01
1.0,0.0,0.0004,0.0004,none,54.69,0.0,Enhanced_PPO,54.75,0.0,54.75,Excellent,1501_episodes,0.06
1.0,0.0,0.0004,0.0004,none,39.77,0.0,Gradient,39.78,0.0,39.78,Excellent,100000_steps,0.01
1.0,0.0,0.0004,0.0004,none,39.77,0.0,Enhanced_PPO,39.38,0.0,39.38,Excellent,1501_episodes,0.39
1.0,0.0,0.0004,0.0004,none,39.77,0.0,Gradient,39.79,0.0,39.79,Excellent,100000_steps,0.02
1.0,0.0,0.0004,0.0004,none,39.77,0.0,Enhanced_PPO,39.82,0.0,39.82,Excellent,1501_episodes,0.05
1.0,0.0,0.0004,0.0004,none,87.5,0.0,Gradient,87.49,0.0,87.49,Excellent,100000_steps,0.01
1.0,0.0,0.0004,0.0004,none,87.5,0.0,Enhanced_PPO,87.5,0.0,87.5,Excellent,1501_episodes,0.0
1.0,0.0,0.0004,0.0004,none,87.5,0.0,Gradient,87.5,0.0,87.5,Excellent,100000_steps,0.0
1.0,0.0,0.0004,0.0004,none,87.5,0.0,Enhanced_PPO,87.5,0.0,87.5,Excellent,1501_episodes,0.0
1.0,0.0,0.0004,0.0004,none,54.69,0.0,Gradient,54.69,0.0,54.69,Excellent,100000_steps,0.0
1.0,0.0,0.0004,0.0004,none,54.69,0.0,Enhanced_PPO,54.63,0.0,54.63,Excellent,1501_episodes,0.06
1.0,0.0,0.0004,0.0004,none,54.69,0.0,Gradient,54.7,0.0,54.7,Excellent,100000_steps,0.01
1.0,0.0,0.0004,0.0004,none,54.69,0.0,Enhanced_PPO,54.67,0.0,54.67,Excellent,1501_episodes,0.02
1.0,0.0,0.0004,0.0004,none,39.77,0.0,Gradient,39.78,0.0,39.78,Excellent,100000_steps,0.01
1.0,0.0,0.0004,0.0004,none,39.77,0.0,Enhanced_PPO,39.76,0.0,39.76,Excellent,1501_episodes,0.01
1.0,0.0,0.0004,0.0004,none,39.77,0.0,Gradient,39.79,0.0,39.79,Excellent,100000_steps,0.02
1.0,0.0,0.0004,0.0004,none,39.77,0.0,Enhanced_PPO,39.52,0.0,39.52,Excellent,1501_episodes,0.25
1.0,0.0,0.0004,0.0004,none,87.5,0.0,Gradient,87.49,0.0,87.49,Excellent,100000_steps,0.01
1.0,0.0,0.0004,0.0004,none,87.5,0.0,Enhanced_PPO,87.46,0.0,87.46,Excellent,1501_episodes,0.04
1.0,0.0,0.0004,0.0004,none,87.5,0.0,Gradient,87.5,0.0,87.5,Excellent,100000_steps,0.0
1.0,0.0,0.0004,0.0004,none,87.5,0.0,Enhanced_PPO,87.5,0.0,87.5,Excellent,1501_episodes,0.0
1.0,0.0,0.0004,0.0004,none,54.69,0.0,Gradient,54.69,0.0,54.69,Excellent,100000_steps,0.0
1.0,0.0,0.0004,0.0004,none,54.69,0.0,Enhanced_PPO,54.67,0.0,54.67,Excellent,1501_episodes,0.02
1.0,0.0,0.0004,0.0004,none,54.69,0.0,Gradient,54.7,0.0,54.7,Excellent,100000_steps,0.01
1.0,0.0,0.0004,0.0004,none,54.69,0.0,Enhanced_PPO,54.72,0.0,54.72,Excellent,1501_episodes,0.03
1.0,0.0,0.0004,0.0004,none,39.77,0.0,Gradient,39.78,0.0,39.78,Excellent,100000_steps,0.01
1.0,0.0,0.0004,0.0004,none,39.77,0.0,Enhanced_PPO,39.75,0.0,39.75,Excellent,1501_episodes,0.02
1.0,0.0,0.0004,0.0004,none,39.77,0.0,Gradient,39.79,0.0,39.79,Excellent,100000_steps,0.02
1.0,0.0,0.0004,0.0004,none,39.77,0.0,Enhanced_PPO,39.26,0.0,39.26,Good,1501_episodes,0.51
