algorithm,q,effort_range,theoretical_effort,actual_effort,gap,quality,convergence_time,final_effort,episodes
UltraGradient,25.0,"(0, 100)",87.5,87.54999936480678,0.04999936480678002,Excellent,0.14693117141723633,87.54999936480678,
UltraPPO,25.0,"(0, 100)",87.5,87.49203063964843,0.007969360351566479,Excellent,0.6976430416107178,87.49203063964843,101
UltraGradient,25.0,"(0, 200)",87.5,87.4500013622128,0.04999863778719771,Excellent,0.6916930675506592,87.4500013622128,
UltraPPO,25.0,"(0, 200)",87.5,87.52704360961914,0.027043609619141762,Excellent,0.2653191089630127,87.52704360961914,201
UltraGradient,40.0,"(0, 100)",54.6875,54.737498418198726,0.04999841819872586,Excellent,0.27956199645996094,54.737498418198726,
UltraPPO,40.0,"(0, 100)",54.6875,54.730065422058104,0.04256542205810376,Excellent,0.24561691284179688,54.730065422058104,201
UltraGradient,40.0,"(0, 200)",54.6875,54.67944528417501,0.008054715824989955,Excellent,8.893013000488281e-05,54.67944528417501,
UltraPPO,40.0,"(0, 200)",54.6875,54.6727710723877,0.014728927612303266,Excellent,0.26070308685302734,54.6727710723877,201
UltraGradient,55.0,"(0, 100)",39.772727272727266,39.82272394971357,0.04999667698630361,Excellent,0.08725714683532715,39.82272394971357,
UltraPPO,55.0,"(0, 100)",39.772727272727266,39.81833782196045,0.04561054923318153,Excellent,0.11830997467041016,39.81833782196045,101
UltraGradient,55.0,"(0, 200)",39.772727272727266,39.73609415004983,0.03663312267743635,Excellent,9.012222290039062e-05,39.73609415004983,
UltraPPO,55.0,"(0, 200)",39.772727272727266,39.81465091705322,0.04192364432595497,Excellent,0.11817288398742676,39.81465091705322,101
