stage1_weight,stage2_weight,k1,k2,information_revelation,theoretical_stage1_effort,theoretical_stage2_effort,Model_training,final_stage1_effort,final_stage2_effort,final_weighted_effort,Convergence_Quality,episodes,Gap_from_theoretical
3.0,6.5,0.0004,0.0004,partial,58.33333333333333,58.33333333333333,gradient,58.33333333333333,58.33333333333333,554.1666666666666,Excellent,0,0.0
3.0,6.5,0.0004,0.0004,partial,36.458333333333336,36.458333333333336,gradient,36.458333333333336,36.458333333333336,346.3541666666667,Excellent,0,0.0
3.0,6.5,0.0004,0.0004,partial,26.515151515151516,26.515151515151516,gradient,26.515151515151516,26.515151515151516,251.89393939393938,Excellent,0,0.0
3.0,6.5,0.0004,0.0004,partial,58.33333333333333,58.33333333333333,ppo,58.32855880737305,58.33333333333333,554.1523430887858,Excellent,3000,0.014323577880873017
3.0,6.5,0.0004,0.0004,partial,36.458333333333336,36.458333333333336,ppo,36.45524654388428,36.458333333333336,346.34490629831953,Excellent,3000,0.0092603683471566
3.0,6.5,0.0004,0.0004,partial,26.515151515151516,26.515151515151516,ppo,26.52364112854004,26.515151515151516,251.91940823410496,Excellent,3000,0.025468840165586926
3.0,6.5,0.0004,0.0004,partial,58.33333333333333,58.33333333333333,gradient,58.33333333333333,58.33333333333333,554.1666666666666,Excellent,0,0.0
3.0,6.5,0.0004,0.0004,partial,36.458333333333336,36.458333333333336,gradient,36.458333333333336,36.458333333333336,346.3541666666667,Excellent,0,0.0
3.0,6.5,0.0004,0.0004,partial,26.515151515151516,26.515151515151516,gradient,26.515151515151516,26.515151515151516,251.89393939393938,Excellent,0,0.0
3.0,6.5,0.0004,0.0004,partial,58.33333333333333,58.33333333333333,gradient,58.33333333333333,58.33333333333333,554.1666666666666,Excellent,0,0.0
3.0,6.5,0.0004,0.0004,partial,36.458333333333336,36.458333333333336,gradient,36.458333333333336,36.458333333333336,346.3541666666667,Excellent,0,0.0
3.0,6.5,0.0004,0.0004,partial,26.515151515151516,26.515151515151516,gradient,26.515151515151516,26.515151515151516,251.89393939393938,Excellent,0,0.0
3.0,6.5,0.0004,0.0004,partial,58.33333333333333,58.33333333333333,ppo,50.85946982264519,92.93463134765625,756.6535132277012,Poor,50,202.48684656103455
3.0,6.5,0.0004,0.0004,partial,36.458333333333336,36.458333333333336,ppo,50.1890124809742,90.81404876708984,740.8583544290066,Poor,50,394.5041877623399
3.0,6.5,0.0004,0.0004,partial,26.515151515151516,26.515151515151516,ppo,50.064102247953414,90.38046264648438,737.6653139460086,Poor,50,485.77137455206923
